hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
181,27.317423,.5456775,.013342,.898279,2511,,0,0,.0403133,.1345355,147.5483,-147.5483,0,0,53,27.31742,5
183,17.767408,.5663854,.0141151,.9051222,13097,,0,0,.0609001,.1210827,3676.583,-3676.583,0,0,80,17.76741,5
184,22.255298,.3934714,.0092022,.8997794,1307,,0,0,.0312412,.2309421,421.3121,-421.3122,0,0,22,22.2553,5
185,45.238225,.5498905,.0193122,.891944,1006,,0,0,.0326706,.2905838,509.3756,-509.3756,0,0,16,45.23822,5
186,15.418488,.4529575,.0063742,.8931858,1564,,0,0,.0360704,.1426889,62.822,-62.82199,0,0,45,15.41849,5
187,62.070896,.5620373,.0157123,.9158673,3999,,0,0,.0379935,.1757912,566.7991,-566.7991,0,0,36,62.0709,5
188,7.3034111,.4355268,-.0050003,.8954713,1017,,0,0,.0975672,-.0432528,-239.2255,239.2255,0,0,25,7.303411,5
190,69.36073,.5787972,.0198311,.8981609,2189,,0,0,.0236608,.3569074,1204.143,-1204.143,0,0,12,69.36073,5
191,45.760318,.3068392,.0094281,.9035611,4565,,0,0,.0306773,.4018109,626.6876,-626.6876,0,0,25,45.76032,5
192,30.209836,.3790886,.0033461,.9101185,6403,,0,0,.0396487,.0796333,166.9809,-166.9809,0,0,34,30.20984,5
193,53.480046,.6104353,.0297722,.9053766,860,,0,0,.0241185,.5933237,430.8927,-430.8927,0,0,17,53.48005,5
194,47.561413,.4750752,.018002,.9098061,2055,,0,0,.0387726,.3515566,264.455,-264.455,0,0,18,47.56141,5
195,57.49255,.2611562,.0054597,.9051055,939,,0,0,.0223866,.2866571,-12.00386,12.00385,0,0,,57.49255,5
196,63.127178,.2757691,.0049252,.9056373,1618,,0,0,.0216751,.2484029,367.0838,-367.0838,0,0,13,63.12718,5
197,70.973064,.6503153,.0261102,.8885861,1338,,0,0,.0187084,.6903393,736.9664,-736.9664,0,0,,70.97306,5
200,27.898267,.3657125,.0100971,.9095343,3688,,0,0,.044205,.169607,193.8223,-193.8224,0,0,30,27.89827,5
203,31.743936,.5113689,.0076554,.8987314,2166,,0,0,.0256718,.1449891,-150.8163,150.8163,0,0,17,31.74394,5
204,31.860682,.4308931,.0219382,.8866485,2605,,0,0,.0538617,.2813483,786.8734,-786.8734,0,0,49,31.86068,5
205,52.278213,.5400762,.0145515,.8992677,10402,,0,0,.0429459,.111814,3247.323,-3247.323,0,0,48,52.27821,5
207,64.896655,.5837217,.014376,.8935699,301,,0,0,.0186315,.3623253,156.4316,-156.4316,0,0,15,64.89665,5
208,14.38388,.6402832,.0113901,.8793427,2353,,0,0,.0475782,.0910901,780.9994,-780.9994,0,0,27,14.38388,5
209,21.526768,.1711396,.002807,.8962326,1062,,0,0,.0421088,.2511778,46.05077,-46.05076,0,0,18,21.52677,5
210,32.3543,.5979786,.0273777,.8968053,1757,,0,0,.0416527,.2245774,766.9839,-766.9839,0,0,27,32.3543,5
212,27.174959,.4603849,.0220765,.8897345,985,,0,0,.0424853,.3668913,310.3218,-310.3218,0,0,26,27.17496,5
213,46.971631,.6100628,.0280955,.9124186,3001,,0,0,.0364233,.3058982,633.1659,-633.166,0,0,25,46.97163,5
214,36.547728,.2694639,.0072652,.9135734,1455,,0,0,.0509338,.1737559,108.7263,-108.7263,0,0,,36.54773,5
216,36.216176,.4295776,.0192726,.8927361,582,,0,0,.0410583,.3879201,130.4249,-130.4249,0,0,26,36.21618,5
217,6.8303496,.2758424,.0065233,.8955636,607,,0,0,.0337814,.2795862,133.8359,-133.8359,0,0,,6.830349,5
218,45.606838,.4373736,.0138445,.9111521,263,,0,0,.0405132,.2863609,21.02368,-21.02368,0,0,16,45.60684,5
219,43.632373,.3856212,.018204,.8848785,2544,,0,0,.0503887,.2401911,643.8519,-643.8519,0,0,29,43.63237,5
220,32.426758,.4734831,.0187133,.8968576,286,,0,0,.037082,.3753335,105.5454,-105.5454,0,0,19,32.42676,5
222,54.292185,.5824217,.0260316,.9023504,4284,,0,0,.0269661,.5813454,1578.587,-1578.587,0,0,46,54.29219,5
