hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
197,"current",1,1338,-.0009562,,.8885793,.881692,.881692,.8875078,.9192805,.8876231,.881692,.881692,.881692,.9192805,,,,,,,,,,
200,"current",1,3688,.0001001,,.9095354,.8989152,.8989152,.9146023,.9146023,.9096355,.8989152,.8989152,.9146023,.9146023,,,,,,,,,,
201,"current",1,7631,5.78e-06,,.9133859,.8842912,.8890728,.9292753,.9391924,.9133916,.8842912,.8890728,.9292753,.9337607,,,,,,,,,,
203,"current",1,2166,.0012437,,.8987314,.894896,.8950716,.8950716,.9223495,.8999751,.8916519,.8950716,.9063032,.9223495,,,,,,,,,,
204,"current",1,2605,-.0013894,,.8866457,.8552279,.8649025,.9105126,.9186906,.8852562,.8543046,.8649025,.9105126,.9186906,,,,,,,,,,
205,"current",1,10402,.0064346,,.8992753,.8657649,.8887414,.9115044,.9178404,.9057099,.8657649,.9076923,.9178404,.9241459,,,,,,,,,,
207,"current",1,301,.0012953,,.8935699,.8709257,.8709257,.9074177,.9096045,.8948652,.8709257,.8709257,.9096045,.9096045,,,,,,,,,,
208,"current",1,2353,-.0009497,,.8793383,.8727142,.8727142,.8923077,.9074177,.8783886,.8693694,.8727142,.8923077,.8923077,,,,,,,,,,
209,"current",1,1062,.0001963,,.8962326,.8791209,.8837209,.9080882,.9080882,.8964289,.8791209,.8837209,.9080882,.9080882,,,,,,,,,,
210,"current",1,1757,-.0016183,,.8968202,.8736162,.9021299,.9021299,.9021299,.895202,.8736162,.9021299,.9021299,.9021299,,,,,,,,,,
212,"current",1,985,-.0022275,,.8897229,.8622754,.8864169,.9021299,.90875,.8874953,.8622754,.8864169,.9021299,.907173,,,,,,,,,,
213,"current",1,3001,.0014349,,.9124542,.8709677,.8992043,.9239611,.9465346,.9138892,.8928571,.9021299,.9239611,.9273012,,,,,,,,,,
214,"current",1,1455,.0010828,,.9135734,.8769231,.9223856,.9223856,.9273012,.9146562,.8769231,.9223856,.9223856,.9223856,,,,,,,,,,
217,"current",1,607,.0001468,,.8955635,.8948692,.8948692,.8948692,.8948692,.8957103,.8948692,.8948692,.8948692,.8948692,,,,,,,,,,
218,"current",1,263,-.0003588,,.9111521,.8818898,.904321,.9264706,.9305556,.9107933,.8818898,.904321,.9264706,.9264706,,,,,,,,,,
219,"current",1,2544,.0013509,,.8848945,.8541872,.8541872,.9065934,.9065934,.8862454,.8541872,.8541872,.9065934,.9065934,,,,,,,,,,
220,"current",1,286,.0001032,,.8968787,.8645833,.890852,.9055555,.9309211,.896982,.8614131,.890852,.9055555,.9309211,,,,,,,,,,
222,"current",1,4284,.0003445,,.9023496,.8694915,.8862745,.919708,.9285714,.9026941,.8694915,.8862745,.919708,.9285714,,,,,,,,,,
223,"current",1,15565,-.0064651,,.9040171,.8753623,.8900678,.9334787,.9343389,.897552,.8900678,.8900678,.9047195,.9047195,,,,,,,,,,
225,"current",1,4517,-.0021347,,.8984506,.8629944,.8971894,.9097453,.9131386,.8963159,.8629944,.8971894,.9097453,.9131386,,,,,,,,,,
226,"current",1,2663,-.0008674,,.9028443,.8809091,.8957816,.9207792,.9238705,.9019769,.8804892,.8957816,.9116173,.9238705,,,,,,,,,,
227,"current",1,21688,-.0007114,,.9038106,.8633218,.8900881,.9230769,.940625,.9030992,.8615196,.8888889,.9230769,.940625,,,,,,,,,,
230,"current",1,3286,.000885,,.9131854,.8745387,.890411,.936,.9360731,.9140704,.8745387,.9020651,.936,.9360731,,,,,,,,,,
231,"current",1,1086,.0024338,,.9096581,.8795181,.8875878,.9342544,.9373738,.912092,.8795181,.8875878,.9342544,.9373738,,,,,,,,,,
232,"current",1,6105,.0003307,,.8934634,.8565815,.8755365,.9169295,.9311005,.8937941,.854714,.8755365,.9169295,.9311005,,,,,,,,,,
233,"current",1,2518,-.0001799,,.891972,.8565815,.8857143,.9129493,.9230769,.8917921,.8565815,.8857143,.9129493,.9230769,,,,,,,,,,
234,"current",1,6123,-.0006121,,.8808283,.8526786,.8573596,.8910614,.9076034,.8802162,.8526786,.8571429,.8910614,.9076034,,,,,,,,,,
235,"current",1,2963,-.0007392,,.8871226,.880016,.882243,.8913782,.903183,.8863834,.8755365,.882243,.8913782,.9027778,,,,,,,,,,
236,"current",1,2560,-.0009871,,.9025788,.8815104,.8926654,.9102564,.9330944,.9015917,.8815104,.8815104,.9048991,.9339623,,,,,,,,,,
238,"current",1,2768,.0022015,,.9014219,.862426,.8902439,.9230769,.9330944,.9036234,.862426,.8925165,.9230769,.9330944,,,,,,,,,,
239,"current",1,3664,-.0024295,,.8979802,.8695652,.8924112,.9178862,.9178862,.8955507,.8695652,.8924112,.9083334,.9178862,,,,,,,,,,
240,"current",1,528,.0003924,,.856833,.8511904,.8511904,.8511904,.8712871,.8572254,.8511904,.8511904,.8511904,.8712871,,,,,,,,,,
242,"current",1,1196,.0002465,,.9201276,.8815104,.8946624,.9552239,.9805195,.9203742,.8815104,.8946624,.9361702,.9805195,,,,,,,,,,
243,"current",1,802,.0010241,,.8927534,.8485714,.9013241,.9105263,.9105263,.8937775,.8485714,.9013241,.9105263,.9105263,,,,,,,,,,
244,"current",1,2519,-.0019617,,.9009718,.8573596,.882243,.9274611,.9397835,.8990101,.8571429,.8755365,.9274611,.9397835,,,,,,,,,,
245,"current",1,3393,-.0005963,,.8929503,.8573596,.8803921,.9129493,.9162304,.892354,.854714,.880016,.9129493,.9173554,,,,,,,,,,
