coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.04308498,.00536823,65,1,1,-3369.683,2.87e-130,0,2092,282,116,6.316443,58.55796,.4535032,1.459472,.0765865,.040631,.9226661,50,232
-.04306823,.00536353,65,5,1,-3369.656,0,0,2092,282,116,6.316443,58.55796,.4535032,1.459472,.0765865,.040631,.9226661,50,232
-.05087223,.00784713,69,1,1,-1254.269,.49180407,.3674693,1948,204,132,5.00616,90.41826,1.183262,2.710676,.3891745,.0087269,.9142771,20,127
-.05081446,.0078381,69,5,1,-1254.598,.62591374,.7021847,1948,204,132,5.00616,90.41826,1.183262,2.710676,.3891745,.0087269,.9142771,20,127
-.05081904,.00526928,73,1,1,-3071.776,.35306706,.2426778,2718,137,117,10.43377,47.68439,.615074,3.315322,.1081291,.080206,.9143397,16,73
-.05083413,.0052613,73,5,1,-3071.526,.73548604,.445071,2718,137,117,10.43377,47.68439,.615074,3.315322,.1081291,.080206,.9143397,16,73
-.05145426,.00186015,77,1,1,-14723.53,.21783543,.1905381,9013,621,257,10.7244,65.37149,.6253551,2.475612,.0559338,.1900588,.91491,80,497
-.0514708,.00185854,77,5,1,-14723.03,.51826101,.3920679,9013,621,257,10.7244,65.37149,.6253551,2.475612,.0559338,.1900588,.91491,80,497
-.05112619,.00622011,78,1,1,-2371.538,0,0,1904,125,77,7.758929,54.45435,.7108886,2.628556,.1696467,.039916,.9154117,22,103
-.04872849,.00320689,79,1,1,-2922.652,.04207166,.3769071,2295,365,204,6.28366,40.34211,.8391867,2.219544,.0448737,.124183,.8974473,78,268
-.04871865,.00320718,79,5,1,-2922.647,0,0,2295,365,204,6.28366,40.34211,.8391867,2.219544,.0448737,.124183,.8974473,78,268
-.06491751,.00325865,80,1,1,-9407.156,.35502725,.1984628,6719,579,266,7.344099,43.07165,.6547225,1.804039,.0590421,.1739842,.9227067,62,448
-.06493989,.00325746,80,5,1,-9406.714,.79629241,.395463,6719,579,266,7.344099,43.07165,.6547225,1.804039,.0590421,.1739842,.9227067,62,448
-.11655719,.00908254,81,1,1,-4511.812,0,0,3021,316,132,7.656074,54.7079,.5579399,2.144667,.1035033,.0334326,.9158594,58,264
-.11653809,.0090823,81,5,1,-4511.923,6.382e-22,0,3021,316,132,7.656074,54.7079,.5579399,2.144667,.1035033,.0334326,.9158594,58,264
-.07540821,.00728156,82,1,1,-4447.545,.16401537,.2685593,2917,281,128,8.212204,78.91908,.3909986,1.858913,.0775207,.1258142,.9163315,51,222
-.07541189,.00727733,82,5,1,-4447.74,.11112463,.6130553,2917,281,128,8.212204,78.91908,.3909986,1.858913,.0775207,.1258142,.9163315,51,222
-.04983641,.00483886,83,1,1,-1887.284,.04481105,.4134234,2011,160,92,7.378419,48.65569,.5405915,1.837163,.1935968,.0417703,.9306567,17,116
-.04985696,.00485416,83,5,1,-1887.284,0,0,2011,160,92,7.378419,48.65569,.5405915,1.837163,.1935968,.0417703,.9306567,17,116
-.06552913,.00627427,85,1,1,-2758.291,0,0,2060,229,93,6.37233,107.1411,.4849579,1.704623,.1750627,.2111651,.922833,38,194
-.06549474,.00628309,85,5,1,-2758.463,3.641e-22,0,2060,229,93,6.37233,107.1411,.4849579,1.704623,.1750627,.2111651,.922833,38,194
-.06300056,.0038891,86,1,1,-3818.781,.50974961,.30209,2999,186,79,7.634878,38.27474,.7350324,2.031544,.1145422,.174058,.9309306,25,159
-.06306771,.00389283,86,5,1,-3818.16,1.119905,.5240288,2999,186,79,7.634878,38.27474,.7350324,2.031544,.1145422,.174058,.9309306,25,159
-.02004795,.00963129,87,1,1,-1708.525,0,0,1393,116,80,6.256999,110.5422,.5941901,1.75666,.2215616,.3194544,.9238492,36,98
-.02008527,.00961976,87,5,1,-1708.58,1.001e-13,0,1393,116,80,6.256999,110.5422,.5941901,1.75666,.2215616,.3194544,.9238492,36,98
-.07741173,.00611275,89,1,1,-3041.312,.07053875,.3968223,2153,169,87,8.397585,45.19059,.609209,2.023765,.1298438,.1114724,.9257188,40,126
-.07740809,.00611192,89,5,1,-3041.309,.13662449,.7400655,2153,169,87,8.397585,45.19059,.609209,2.023765,.1298438,.1114724,.9257188,40,126
-.03576524,.00471877,91,1,1,-2432.046,.86873417,.4674824,1759,188,97,7.467879,85.88705,.7415813,2.792356,.0934711,.2211484,.9091005,54,157
-.03578056,.00472856,91,5,1,-2432.353,1.5857458,.9133704,1759,188,97,7.467879,85.88705,.7415813,2.792356,.0934711,.2211484,.9091005,54,157
-.04348905,.00425227,96,1,1,-6444.456,0,0,3310,311,136,10.10574,41.72968,.4856782,1.993619,.1079693,.0129909,.9208477,64,280
