hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
289,0,.4709558,-.0035202,.9023255,1533,,0,0,.037068,-.0551566,-3.032608,3.032601,0,0,118,1
291,.45927945,.4355041,-.0004512,.8955194,1237,,0,0,.0383741,-.0076185,43.22001,-43.22,0,0,92,1
292,.03939517,.4427367,-.0115869,.9092716,1916,,0,0,.0314193,-.2351721,-358.0051,358.0051,0,0,99,1
295,.09920198,.4767778,-.0042943,.906497,7705,,0,0,.0307958,-.0476794,362.2482,-362.2482,0,0,100,1
296,.04339118,.2616256,-.0018757,.9034635,1585,,0,0,.0286342,-.1330847,-45.30424,45.30423,0,0,26,1
297,.67997543,.4282719,-.0004054,.9094938,539,,0,0,.0335476,-.0078131,39.34173,-39.34173,0,0,64,1
299,.56651351,.3338626,-.0040819,.9117015,2355,,0,0,.0514484,-.0861552,74.78238,-74.78236,0,0,33,1
300,5.116e-18,.3227903,-.0058416,.9048402,1506,,0,0,.0308251,-.2449197,-197.5656,197.5656,0,0,20,1
301,.07047825,.454612,-.0057528,.908657,14849,,0,0,.0369528,-.1135527,-280.4338,280.4338,0,0,133,1
303,0,.4860688,-.0044875,.9112645,4674,,0,0,.0389415,-.0648847,-165.6448,165.6448,0,0,153,1
304,.39259793,.4026461,.0007829,.899503,1325,,0,0,.0304658,.0244036,167.0081,-167.0081,0,0,32,1
307,.40221753,.1839006,-.0030497,.9171701,4244,,0,0,.0403313,-.1202635,-336.9445,336.9445,0,0,27,1
308,6.791e-33,.441429,-.0045523,.9070178,4344,,0,0,.0315288,-.1023445,-9.888145,9.888124,0,0,109,1
309,4.152e-13,.3268748,-.0009081,.9098125,3501,,0,0,.0322839,-.0312342,-353.9788,353.9788,0,0,33,1
311,3.642e-09,.2608585,-.0002535,.9064652,10127,,0,0,.0338832,-.0046343,460.7001,-460.7001,0,0,47,1
313,9.711e-27,.3876718,-.0002909,.8990505,1621,,0,0,.0136307,-.0233858,-174.2192,174.2192,0,0,18,1
314,1.097e-24,.3634604,-.0072217,.9010945,4791,,0,0,.0332009,-.2256251,57.51138,-57.51139,0,0,40,1
315,.08740724,.7263161,-.0184878,.9003487,710,,0,0,.0254058,-.2591594,-396.4801,396.4801,0,0,14,1
318,.10225271,.4754922,-.0164752,.8969942,4539,,0,0,.0405248,-.2741009,-1189.438,1189.438,0,0,40,1
319,.01276233,.3955481,.0042198,.8978171,2556,,0,0,.0340541,.0811184,828.331,-828.331,0,0,19,1
320,.09231962,.6017784,-.0028601,.9106417,2495,,0,0,.0367503,-.0310446,-82.54836,82.54833,0,0,38,1
322,2.898e-27,.3288443,-.0007945,.9041516,1706,,0,0,.0555946,-.012556,208.6403,-208.6403,0,0,19,1
323,1.0360507,.1302256,.002314,.8999105,492,,0,0,.0611854,.1315414,34.13479,-34.1348,0,0,,1
326,8.67e-244,.2956616,-.0021599,.8972664,2429,,0,0,.0359125,-.0751456,-207.8516,207.8516,0,0,34,1
327,.14139944,.4342164,-.0049114,.894462,8160,,0,0,.0334462,-.0847924,961.7593,-961.7593,0,0,43,1
328,.00215616,.5002253,-.0118435,.89529,6832,,0,0,.0396887,-.2842747,-1635.713,1635.713,0,0,55,1
329,.3014373,.4352552,-.008853,.8996554,11078,,0,0,.0443652,-.0912406,-1740.194,1740.194,0,0,90,1
330,.12632737,.471934,-.0068699,.9018956,5200,,0,0,.0379971,-.1268701,-601.6372,601.6373,0,0,46,1
331,1.089e-28,.4556959,.0020418,.8848111,1013,,0,0,.0368975,.0406662,45.02258,-45.02259,0,0,18,1
332,9.612e-21,.38669,-.0086068,.9079758,2186,,0,0,.0340743,-.3812994,-280.1674,280.1674,0,0,31,1
334,0,.4118968,-.0136717,.8966821,5718,,0,0,.0440543,-.2478541,-415.3904,415.3903,0,0,76,1
335,0,.4155334,-.0043503,.9087211,3230,,0,0,.0373008,-.09305,-206.2766,206.2766,0,0,51,1
336,5.319e-45,.3497331,-.013861,.8944047,1060,,0,0,.0376396,-.4457088,-167.0916,167.0916,0,0,23,1
339,.15842672,.4537038,-.0159686,.8968103,10177,,0,0,.0469442,-.1636042,-1920.667,1920.667,0,0,77,1
340,.05125909,.4280728,-.0130956,.9015386,8140,,0,0,.0391494,-.339657,-1065.002,1065.002,0,0,48,1
341,3.632e-14,.0071253,-.0002141,.9328403,1594,,0,0,.0212516,,-11.3578,11.3578,0,0,,1
342,.42133987,.2622909,.0040468,.9167572,2121,,0,0,.0220416,.4083175,156.3725,-156.3725,0,0,15,1
343,.02530014,.2701123,-.0018591,.9186697,2122,,0,0,.0225862,-.11987,-118.6416,118.6416,0,0,13,1
344,.22786355,.444809,-.0018185,.9174009,2609,,0,0,.0540641,-.0221231,159.7615,-159.7615,0,0,54,1
345,1.763e-67,.2759213,.0052544,.9269758,504,,0,0,.0250682,.4719659,70.30397,-70.30397,0,0,12,1
346,.16483888,.5782013,-.0042863,.8982256,8123,,0,0,.0382018,-.0227192,-3013.918,3013.918,0,0,93,1
347,.07568331,.3043733,.0034319,.8803976,1067,,0,0,.0213421,.3190117,-.9843076,.9843019,0,0,21,1
350,1.124e-23,.2499765,-.0051667,.9217005,2382,,0,0,.0273227,-.2172886,-191.1035,191.1035,0,0,26,1
351,0,.4058002,-.0132055,.9092888,2808,,0,0,.0402192,-.2869669,-387.6874,387.6874,0,0,56,1
352,.22390751,.4789797,-.0015602,.8989593,5125,,0,0,.0246963,-.0347009,-726.9314,726.9313,0,0,62,1
354,1.3662904,.365893,.0047931,.8892305,263,,0,0,.0336621,.1826416,29.68866,-29.68866,0,0,21,1
355,0,.3767568,-.0018032,.8961576,4052,,0,0,.0325033,-.0554061,205.4919,-205.492,0,0,48,1
356,.00856813,.594222,.0102065,.9012717,14931,,0,0,.040203,.0396971,4980.017,-4980.017,0,0,127,1
357,2.02e-167,.4336666,.0005168,.8931217,4980,,0,0,.0348073,.0117228,-89.7318,89.73179,0,0,62,1
358,.79740836,.3397414,-.0067355,.9134681,3887,,0,0,.0358616,-.1777149,-412.7952,412.7952,0,0,55,1
359,1.1600627,.2832316,-.003062,.8937906,984,,0,0,.0238192,-.1924624,14.02545,-14.02545,0,0,19,1
360,1.853e-18,.2409762,-.0027458,.8896334,2103,,0,0,.0275052,-.2387849,-72.11297,72.11297,0,0,31,1
362,.73906563,.2998745,.0014287,.9016645,1098,,0,0,.0273369,.0680598,138.2585,-138.2585,0,0,17,1
363,.03374691,.3969821,-.0022517,.908782,2591,,0,0,.0285657,-.0539901,-258.2724,258.2724,0,0,39,1
364,3.288e-18,.5897184,-.0194615,.9148878,4761,,0,0,.0406393,-.1910149,-1141.289,1141.289,0,0,75,1
365,0,.4366248,.0034908,.9168872,4007,,0,0,.0351648,.0804729,391.1992,-391.1992,0,0,30,1
366,0,.4783275,-.0062114,.9120108,5723,,0,0,.0294878,-.114007,-1414.022,1414.022,0,0,41,1
367,.91661842,.3417893,-.0010784,.8960324,1313,,0,0,.036984,-.0259125,93.53588,-93.53588,0,0,30,1
368,2.922e-24,.1673314,.0009641,.9185923,5704,,0,0,.0308982,.0702373,349.1141,-349.1141,0,0,18,1
369,.14703085,.3015832,-.004846,.8994087,1517,,0,0,.0222783,-.2299381,-166.8835,166.8835,0,0,22,1
370,0,.121624,-.0138354,.8825408,1259,,0,0,.0724083,,0,.0000153,0,0,,1
371,.48194504,.3150284,.0001398,.9006759,5055,,0,0,.0365019,.006121,-59.09028,59.09026,0,0,26,1
373,0,.501506,-.0065102,.9070255,3726,,0,0,.035792,-.0723766,-482.0134,482.0134,0,0,28,1
374,7.953e-24,.3602009,-.0094771,.8574437,1369,,0,0,.0502158,-.2390585,-227.6519,227.6519,0,0,21,1
375,3.668e-34,.2337507,-.0079985,.8874811,839,,0,0,.0589552,-.211619,-66.30202,66.30202,0,0,15,1
376,.77739766,.3379378,-.0077253,.8700421,1365,,0,0,.0364833,-.2089266,-217.8898,217.8898,0,0,18,1
377,0,.1426286,.0010954,.9079941,6588,,0,0,.0613208,.0341743,165.254,-165.254,0,0,31,1
380,.21209581,.517767,-.0067021,.8997866,12421,,0,0,.0398749,-.1042731,-1039.159,1039.159,0,0,73,1
382,4.232e-27,.2722126,-.0050674,.8848034,1140,,0,0,.0381594,-.1781829,-76.34516,76.34515,0,0,16,1
383,.31949641,.235558,-.0066238,.8719387,2064,,0,0,.1211647,-.0911961,60.40374,-60.40374,0,0,16,1
385,.09150124,.4553042,-.0148204,.9103124,4406,,0,0,.0408641,-.2682194,-963.6241,963.6242,0,0,43,1
386,.74426924,.2898335,.0069594,.9053148,1102,,0,0,.0291858,.2113521,175.0621,-175.0621,0,0,16,1
388,.74143394,.3940484,.0064991,.8813825,900,,0,0,.0496798,.1403507,142.2393,-142.2393,0,0,20,1
390,.64182908,.3902414,-.0125591,.9138735,1323,,0,0,.0267203,-.3152226,-449.412,449.412,0,0,,1
391,.1011052,.467604,-.0235988,.8956578,14461,,0,0,.0798614,-.2166514,-2218.005,2218.005,0,0,99,1
393,.40967461,.340671,.0052939,.9030306,1423,,0,0,.0667814,.0930182,34.01617,-34.0162,0,0,15,1
394,.277748,.5526467,-.0054452,.8972868,6326,,0,0,.0807874,-.0267234,-497.8206,497.8206,0,0,63,1
396,.19975862,.3322246,-.0155834,.9039134,702,,0,0,.0754056,-.3119657,-109.0015,109.0015,0,0,,1
397,0,.4680267,-.0070516,.894244,10066,,0,0,.0390388,-.1107503,-782.6653,782.6653,0,0,76,1
399,0,.2828419,-.0045302,.899203,1210,,0,0,.0367877,-.2402825,-12.2019,12.2019,0,0,15,1
400,.09981643,.192844,.0063673,.898345,1869,,0,0,.0614393,.1446027,181.748,-181.7479,0,0,18,1
402,.19693448,.3836563,-.0307282,.8939311,867,,0,0,.075692,-.5182719,-201.1975,201.1975,0,0,,1
406,0,.328928,-.0063941,.9179607,570,,0,0,.032164,-.312243,-45.73922,45.73922,0,0,,1
411,.76312196,.263549,-.0047825,.8991789,566,,0,0,.0299392,-.3381427,-45.27944,45.27944,0,0,,1
413,0,.6456941,-.0060838,.9035031,855,,0,0,.0289173,-.0978802,217.5679,-217.5679,0,0,21,1
416,.68590803,.426951,-.0017044,.9014078,3239,,0,0,.0707917,-.0161311,-299.6377,299.6377,0,0,43,1
417,3.727e-72,.2259689,-.0089977,.8746697,688,,0,0,.0385292,-.3201216,-92.00449,92.00448,0,0,18,1
418,2.683e-18,.2227427,-.0035204,.8971841,895,,0,0,.0435355,-.180297,-14.47171,14.47171,0,0,28,1
420,2.195e-15,.1474154,-.0050027,.9032915,987,,0,0,.0411327,-.2616813,-71.85226,71.85226,0,0,21,1
421,.00151615,.458072,-.0011878,.9068071,1530,,0,0,.0213685,-.0447348,-457.4053,457.4053,0,0,17,1
422,2.588e-19,.3119833,-.0018362,.8985133,1595,,0,0,.0331655,-.0793821,-19.74382,19.74383,0,0,15,1
424,.02054787,.2894455,-.0043873,.9240567,1733,,0,0,.0477646,-.1378867,-161.9436,161.9436,0,0,19,1
426,.10272009,.4961646,-.0090469,.9026588,8032,,0,0,.0306119,-.1498376,-964.9706,964.9708,0,0,56,1
427,.22999235,.5562101,-.0215995,.9051857,3475,,0,0,.0246724,-.3453218,-896.1357,896.1357,0,0,35,1
429,.1643861,.421131,-.0079089,.9043642,4762,,0,0,.0345805,-.1789172,-1180.879,1180.879,0,0,20,1
430,1.64e-122,.4225127,.0013119,.9120346,7769,,0,0,.0301392,.0287833,-386.131,386.131,0,0,29,1
431,0,.3669961,.0016088,.9090975,9742,,0,0,.0240001,.0254627,655.9256,-655.9257,0,0,53,1
432,.04389205,.4691897,-.0095549,.9116088,4255,,0,0,.0511164,-.0903833,-1117.143,1117.143,0,0,33,1
437,6.129e-26,.4437613,-.0085305,.9130494,1524,,0,0,.0272367,-.2301096,-369.0815,369.0815,0,0,20,1
438,5.205e-36,.2358297,-.0175527,.9076693,1608,,0,0,.0439474,-.5616528,-82.81664,82.81665,0,0,16,1
439,.01823489,.5214671,-.0008262,.9133321,8892,,0,0,.037876,-.0172991,65.85182,-65.85197,0,0,30,1
440,.02382309,.3901239,-.0049204,.9134471,6511,,0,0,.0379581,-.1250614,-491.1927,491.1927,0,0,43,1
441,2.716e-20,.5555269,-.008964,.9112171,2641,,0,0,.0480164,-.1263903,-751.9033,751.9033,0,0,14,1
442,.58548113,.1142422,.002499,.9051237,874,,0,0,.0172627,.4825072,53.04396,-53.04396,0,0,12,1
443,.24330804,.3882774,-.0263156,.8981498,2965,,0,0,.0443037,-.4764725,-763.3091,763.3091,0,0,35,1
445,2.086e-18,.2254277,.0014195,.9066572,1319,,0,0,.0261678,.128966,4.306351,-4.306348,0,0,19,1
446,3.768e-25,.4464023,-.0094692,.9130889,555,,0,0,.029712,-.422318,-91.86301,91.86301,0,0,19,1
447,.12072132,.4281429,-.0057193,.9073813,1642,,0,0,.0242352,-.3014194,-228.9476,228.9476,0,0,20,1
448,1.1076119,.3286784,-.0016054,.9109692,1160,,0,0,.0220996,-.1562974,-99.26966,99.26966,0,0,21,1
449,0,.4873447,.0022623,.9074009,4330,,0,0,.029678,.0564285,492.0602,-492.0602,0,0,58,1
450,8.920e-14,.4130894,-.000934,.9117943,1193,,0,0,.0191402,-.0627507,-50.8255,50.8255,0,0,26,1
451,0,.7499358,-.0020229,.8950465,13904,,0,0,.0349218,-.0085443,-6797.465,6797.465,0,0,81,1
452,.50262848,.468596,-.007358,.9154769,659,,0,0,.0313684,-.2430491,-147.6536,147.6536,0,0,28,1
456,1.625e-25,.1766479,.0020022,.9088273,696,,0,0,.0105795,.5422788,70.8268,-70.82679,0,0,,1
