hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
172,0,.2212881,-.0026556,.8908373,2801,.0524482,2.154723,16.01477,.0357876,-.1458618,-165.8744,165.8744,-1.040554,-1.796171,55,5
173,1.6744211,.3105146,-.0001324,.8902319,1398,.0918858,3.862987,15.88524,.032418,-.0131699,13.32695,-13.32695,-1.898663,-1.774156,29,5
175,0,.1552999,.0001422,.9078542,1220,.4387624,.9159942,3.545343,.03589,.0243892,22.00379,-22.00378,.8223089,-.1625243,15,5
179,.41662624,.1059524,-9.16e-06,.908576,4474,.0276756,1.029731,4.626433,.0282701,-.0029103,-45.00659,45.00658,-.9599619,-.9502993,35,5
180,.64600312,.1712477,-.0000579,.889009,3706,-.0830813,3.884727,16.5293,.0419177,-.0034896,-144.0445,144.0445,-3.415205,-1.365688,43,5
181,4.831e-36,.2674215,-.0015143,.898279,2511,.0628425,2.083937,15.90243,.0403133,-.0833451,-125.0545,125.0545,-.640321,-.5325794,53,5
183,.13931498,.3793622,.0003941,.9051222,13097,.213015,.7292265,3.581421,.0609001,.003719,940.7826,-940.7826,.1635926,.1825584,80,5
184,1.0709976,.3319851,-.0042516,.8997794,1307,.6127162,2.575146,12.89531,.0312412,-.0973963,-209.846,209.846,-.7633814,-1.852257,22,5
185,1.3809354,.1486194,.0003768,.891944,1006,.1757755,1.056284,3.966976,.0326706,.1987852,13.47744,-13.47744,.262844,-.1888694,16,5
186,.80460745,.2685741,-.00188,.8931858,1564,.1835077,2.234158,15.56766,.0360704,-.0960058,-12.96965,12.96965,-.3538409,-1.22859,45,5
187,.4744838,.2580928,-.0020117,.9158673,3999,.4017478,3.519452,16.74214,.0379935,-.0594489,-234.7201,234.7201,1.403892,-1.097468,36,5
188,.44377238,.2902089,-.0016854,.8954713,1017,.4213136,.8854881,3.28638,.0975672,-.0232398,-.4547415,.4547412,-.2246876,-1.032103,25,5
190,2.1063552,.3120139,-.006842,.8981609,2189,.1548322,.7010406,1.791887,.0236608,-.2418289,-477.2206,477.2206,-1.046981,-1.355169,12,5
191,.62418011,.1925148,.0017808,.9035611,4565,.3958328,1.193217,4.018403,.0306773,.0723095,374.2636,-374.2636,-.9101687,-1.437337,25,5
192,.59708376,.4956957,-.0089618,.9101185,6403,.0477056,1.009955,3.583494,.0396487,-.0706371,-2605.992,2605.992,-.8873378,-1.13213,34,5
193,.05546715,.253691,-.0014945,.9053766,860,-.3015083,1.12829,3.873847,.0241185,-.1678171,-32.14232,32.14232,.0407776,.8605235,17,5
194,.05977357,.1845461,-.001459,.9098061,2055,.1711617,1.507315,4.482257,.0387726,-.0886104,-121.9936,121.9936,1.1461,.5581442,18,5
195,1.17e-124,.0786584,-.0001566,.9051055,939,.3768758,.5681122,1.752496,.0223866,-.1218354,-12.82193,12.82193,.492836,.2979335,,5
196,1.1119467,.0793733,.000205,.9056373,1618,.1484962,3.969552,15.00809,.0216751,.1125064,33.6122,-33.61221,.1215522,-2.151367,13,5
197,.80331514,.1515648,-.0009167,.8885861,1338,-.2450121,4.243391,15.8064,.0187084,-.2549798,-26.4549,26.45489,-2.611035,-.0836799,,5
200,.69578098,.1149704,.0001696,.9095343,3688,.0634541,2.516471,14.20048,.044205,.0473431,2.525345,-2.525345,-.9725349,-2.386228,30,5
203,5.642e-30,.2332641,.0012313,.8987314,2166,.5123311,1.201284,4.816912,.0256718,.0733431,-133.9519,133.9519,1.431836,.7159635,17,5
204,.28499123,.1971948,-.0012263,.8866485,2605,.4671156,1.215688,5.581223,.0538617,-.1204614,-44.66992,44.66993,.3772206,-.0550608,49,5
205,0,.516385,.0063865,.8992677,10402,.3206506,.9315917,3.406072,.0429459,.0511859,1408.993,-1408.993,-.436982,-1.12324,48,5
207,7.73e-103,.2183613,.001295,.8935699,301,.375353,6.700353,17.29908,.0186315,.2333515,18.51901,-18.51901,-1.747893,-4.739404,15,5
208,.03292905,.1497575,-.0009785,.8793427,2353,-.0245193,3.08353,17.22897,.0475782,-.0704724,31.97163,-31.97162,-.6553571,.0672164,27,5
209,6.510e-40,.1909698,.0001957,.8962326,1062,.3907196,.7824687,2.494816,.0421088,.0136176,28.97964,-28.97964,-.1502292,-.7769666,18,5
210,.03032311,.1263477,-.0016249,.8968053,1757,.0928722,3.628098,14.57454,.0416527,-.2641373,-14.45107,14.45107,-2.282894,-.8873709,27,5
212,1.5705927,.1791506,-.0015125,.8897345,985,-.0929013,1.191073,4.665884,.0424853,-.129551,-41.7743,41.77431,-.2841932,-.3651346,26,5
213,5.170e-23,.1714515,.0014262,.9124186,3001,.2481911,.7607632,2.548776,.0364233,.0845297,131.5369,-131.5369,-.5411357,-.8643565,25,5
214,3.106e-31,.1295466,.0010838,.9135734,1455,.0232848,3.94749,13.89858,.0509338,.0657139,55.66384,-55.66384,-2.773327,-.966162,,5
216,3.877e-21,.1950507,.000439,.8927361,582,.3460618,1.064327,3.961739,.0410583,.0401414,19.78799,-19.78799,.9857071,.2473233,26,5
217,2.1117484,.015225,.0002074,.8955636,607,.2118381,1.075757,2.519495,.0337814,.6973048,2.415035,-2.415037,.1678851,1.033597,,5
218,1.25e-173,.2270175,-.0003587,.9111521,263,.0383467,4.400075,15.2249,.0405132,-.0739336,-.1821702,.1821703,-.5021255,-1.875749,16,5
219,1.601e-23,.159046,.0013537,.8848785,2544,.4634982,2.881654,16.00086,.0503887,.0930863,101.4476,-101.4476,-1.742669,-1.819233,29,5
220,.39422714,.1547633,.0003478,.8968576,286,.707216,.9970389,4.283128,.037082,.107481,6.546567,-6.546566,1.387707,.621307,19,5
222,.16157223,.2241606,.0003283,.9023504,4284,.0791084,3.023809,15.61328,.0269661,.0551372,54.8109,-54.8109,-1.876851,-2.171614,46,5
223,.11931319,.7658227,-.0064616,.9040179,15565,.1011541,.9856691,5.293122,.0344152,-.0358825,-2924.07,2924.069,-.9854357,-1.261195,80,5
225,1.921e-18,.1985653,-.0021279,.8984506,4517,.0042704,4.215799,16.49805,.0391744,-.1691044,-44.86068,44.86068,-.725476,-1.944833,35,5
226,.13527532,.230084,-.0008113,.9028435,2663,.1963771,.9954115,4.041462,.0415476,-.0515776,-35.69148,35.69148,-1.505021,-1.750662,60,5
227,3.899e-34,.308423,-.00071,.9038106,21688,.2490945,1.11276,5.089239,.0439747,-.0313048,357.7104,-357.7103,1.377607,.7278466,99,5
230,2.430e-23,.2103633,.0008186,.9131502,3286,.2226676,2.741168,19.20231,.0409282,.0484638,20.99039,-20.99038,1.074943,-.3715793,63,5
231,5.420e-84,.2674716,.002435,.9096581,1086,.0705175,2.951233,18.11627,.036276,.1374619,59.23759,-59.2376,.173184,-.6080918,61,5
232,.81243257,.3151518,.0007022,.8934687,6105,.1868992,.7938511,4.126153,.0383313,.0224221,-36.74858,36.7486,1.417734,1.229307,90,5
233,5.281e-17,.2739434,-.0001812,.8919693,2518,.4772545,1.029972,5.322963,.038127,-.012291,-.2277116,.2277102,1.101667,.1561586,58,5
235,.59832801,.289473,-.0006143,.8871221,2963,.1891109,2.502924,16.7058,.0362718,-.0193858,137.0692,-137.0692,-1.434121,-2.400676,72,5
