hrr,mfx_10,pfx_10,pfx_fam_10,pfx_m0_10,mfx_25,pfx_25,pfx_fam_25,pfx_m0_25,mfx_50,pfx_50,pfx_fam_50,pfx_m0_50,mfx_75,pfx_75,pfx_fam_75,pfx_m0_75,mfx_90,pfx_90,pfx_fam_90,pfx_m0_90,mfx_mean,pfx_mean,pr_mean,pr_obs,pfx_fam_mean,pfx_m0_mean,mfx_sd,pfx_sd,pfx_fam_sd,pfx_m0_sd,mfx_count,pfx_count,hrr_group,eta
113,.00031,-.0041819,-.0142659,-.001759,.0008644,-.0030298,-.0011243,-.0001489,.0022286,-.0017233,.0295891,.0000637,.0039106,-.0006519,.1602945,.0006139,.0054395,-.0002321,.3340054,.0015809,.0025694,-.0019799,.1961946,.1900235,.0978492,6.45e-06,.0019428,.0014969,.147944,.0017395,38811,38811,52,5
112,6.46e-19,0,-.0259099,0,1.94e-18,0,-.0044981,0,3.93e-18,0,.0408497,0,6.37e-18,0,.1880796,0,8.69e-18,0,.3113679,0,4.37e-18,0,.248882,.2405452,.0983674,0,3.00e-18,0,.1342514,0,22819,22819,51,5
111,.0007988,-.0101014,-.0137433,-.0061174,.0027193,-.0076485,-.0003934,-.0007134,.0065602,-.0048836,.0520183,.0001705,.0101319,-.0020236,.1989237,.0019434,.0133867,-.0005962,.3595073,.0047806,.0068443,-.0051473,.2404065,.2368917,.1145666,-.0000178,.0046907,.0035494,.1496733,.0050351,24412,24412,50,5
110,5.61e-20,0,-.0141727,0,1.51e-19,0,.0005327,0,3.03e-19,0,.0452462,0,4.59e-19,0,.1883817,0,6.04e-19,0,.3652542,0,3.19e-19,0,.2252129,.2270017,.1128048,0,2.03e-19,0,.1522138,0,17947,17947,49,5
109,2.63e-19,0,-.017826,0,6.50e-19,0,-.0048515,0,2.26e-18,0,.0177366,0,4.66e-18,0,.1534796,0,6.43e-18,0,.3859999,0,2.83e-18,0,.1953709,.199187,.1008767,0,2.38e-18,0,.1666266,0,8856,8856,48,5
107,2.11e-20,0,-.0324491,0,2.91e-20,0,-.0165754,0,4.11e-20,0,.0035416,0,6.03e-20,0,.0471924,0,7.55e-20,0,.1104382,0,4.50e-20,0,.1786994,.1737962,.0229676,0,2.13e-20,0,.0619066,0,4465,4465,47,5
105,.0050044,-.0344779,-.1187912,-.0108786,.0107051,-.0265043,-.0255984,-.0024547,.021993,-.0174488,.0986245,.0008479,.0329491,-.0089578,.240153,.0040029,.044147,-.0041696,.3398829,.0091835,.0230321,-.018304,.4907843,.4549683,.1071452,.0000238,.0141678,.011049,.1781317,.0135577,2365,2365,45,5
104,.0037167,-.0265927,-.0529103,-.015703,.006565,-.017914,-.0163363,-.0055069,.0137769,-.0107253,.1531133,.0003637,.0235021,-.005125,.2568663,.004889,.0347366,-.0029712,.3190107,.0127685,.0171187,-.0132255,.5575478,.4980977,.1284673,-.0003597,.0137119,.010603,.1479265,.0155738,3154,3154,44,5
102,0,0,-.0391853,0,0,0,-.0064569,0,0,0,.0461499,0,0,0,.161485,0,0,0,.2880066,0,0,0,.251385,.1994794,.0877391,0,0,0,.1305142,0,9605,9605,42,5
101,0,0,-.0554305,0,0,0,-.0210686,0,0,0,.0179982,0,0,0,.1735838,0,0,0,.3475829,0,0,0,.2379134,.233381,.0870135,0,0,0,.1636658,0,2798,2798,41,5
96,2.22e-34,0,-.0096166,0,4.87e-34,0,.0012662,0,9.76e-34,0,.0309812,0,1.55e-33,0,.1116367,0,2.03e-33,0,.2526038,0,1.07e-33,0,.146084,.1390968,.0788656,0,6.96e-34,0,.11674,0,12157,12157,40,5
91,.0037987,-.0334789,-.0211453,-.0153381,.0082874,-.022824,-.0050619,-.0015191,.017882,-.0130765,.029564,.0006594,.0302878,-.0058999,.1821636,.0049038,.0440406,-.0026265,.4156054,.0120669,.0212134,-.0157978,.2068682,.2083082,.1134152,-.0002659,.0159686,.0121642,.1773961,.0155379,4983,4983,39,5
89,.0005379,-.0035317,-.0091817,-.0015792,.0012135,-.0028502,.0040246,-.0000744,.0024113,-.00188,.0568481,.0000893,.003557,-.0009541,.1771051,.0004715,.0044483,-.000422,.3414254,.0011234,.0024457,-.0019331,.2210992,.1503165,.1101148,-.0000108,.0014463,.0011455,.1416167,.0012443,5056,5056,38,5
87,5.95e-16,0,-.0643069,0,1.23e-15,0,-.019434,0,1.97e-15,0,.0316877,0,2.65e-15,0,.1792359,0,3.24e-15,0,.3918883,0,1.95e-15,0,.2679168,.2715789,.0964378,0,9.70e-16,0,.1798113,0,3325,3325,37,5
86,.005501,-.0264832,-.0736648,-.0152259,.0104176,-.0197152,-.0346298,-.0016103,.0172217,-.0134198,.004917,.000774,.025425,-.007974,.1616354,.0052528,.0341095,-.0040445,.3569887,.0104476,.0185213,-.0144074,.2504449,.2334602,.0766483,-.0001302,.0106506,.0084063,.1677478,.0116239,8147,8147,36,5
85,1.61e-24,0,-.0086539,0,3.66e-24,0,.0055657,0,6.69e-24,0,.0629773,0,9.80e-24,0,.2099175,0,1.26e-23,0,.369944,0,6.92e-24,0,.2791926,.2301679,.1215287,0,4.01e-24,0,.1466103,0,4349,4349,35,5
83,0,0,-.0652405,0,0,0,-.0264976,0,0,0,.0200671,0,0,0,.1837319,0,0,0,.3064489,0,0,0,.2902632,.2592308,.078265,0,0,0,.1465999,0,3900,3900,34,5
82,.0006545,-.0025022,-.0042782,-.001249,.0012262,-.0020272,.0129898,-.0000578,.0018934,-.0014844,.0589117,.000092,.0025734,-.0009428,.1406166,.0003853,.0031808,-.0004839,.2725843,.0008947,.0019173,-.0014982,.1829286,.1882447,.0985887,8.85e-06,.0009646,.0007584,.1219889,.0009314,7469,7469,33,5
81,1.58e-24,0,-.0147533,0,4.31e-24,0,-.0013289,0,8.58e-24,0,.036074,0,1.39e-23,0,.1673313,0,1.86e-23,0,.3097965,0,9.48e-24,0,.1849578,.1859464,.0983382,0,6.34e-24,0,.1384984,0,9293,9293,32,5
80,.0031671,-.0186485,-.0209454,-.0073305,.0062942,-.013856,.0002113,-.0004823,.0115682,-.0088192,.0447925,.0005215,.0179324,-.004693,.1633005,.0024365,.0237384,-.0023768,.3673037,.0057523,.0125767,-.0097158,.2009387,.1926643,.1061722,.0000228,.0077194,.0061032,.1644467,.0064214,17367,17367,31,5
79,0,0,-.0033898,0,0,0,.0084211,0,0,0,.0574463,0,0,0,.199998,0,0,0,.4888902,0,0,0,.215574,.2011933,.1416186,0,0,0,.1911432,0,4190,4190,30,5
77,.0018943,-.0103527,-.0148445,-.0048142,.003468,-.0077834,.0005509,-.0002956,.0064027,-.0049267,.0402113,.0002962,.0100062,-.002629,.1472306,.0015187,.0132492,-.0014186,.3397126,.0038236,.0071055,-.0054668,.1660261,.1660361,.1020793,-.000043,.0044662,.0034521,.1495001,.0044052,30132,30132,28,5
73,.0045216,-.0164064,-.0507723,-.0089008,.0067788,-.0121285,-.0288236,-.0021059,.0100725,-.0079575,.0011786,.0004659,.0153236,-.0049084,.0639391,.0031364,.0210755,-.0033439,.1349125,.0078656,.0115753,-.0089617,.1990312,.182084,.0224263,.0001336,.0063555,.0050331,.0767341,.0077476,7524,7524,27,5
