hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
442,.58548113,.0245851,-.0001354,.9051237,874,-.4536169,4.508843,16.76082,.0172627,-.2799668,-3.086793,3.086792,-1.296555,1.210193,12,1
443,.24330804,.2022905,-.0043356,.8981498,2965,.3688184,.9099307,3.546332,.0443037,-.3185071,-155.8936,155.8936,-.3228905,-.7375349,35,1
445,2.086e-18,.1807247,.0008555,.9066572,1319,.1136684,3.207669,15.47066,.0261678,.0876372,9.072234,-9.07223,.6961785,-.471529,19,1
446,3.768e-25,.4416522,-.0025389,.9130889,555,.2347643,.6423374,2.036024,.029712,-.1023047,-45.189,45.18901,-.6487546,-.977805,19,1
447,.12072132,.3864729,-.0033769,.9073813,1642,.2715249,8.31834,41.27197,.0242352,-.154077,90.14132,-90.14133,3.354083,-1.270806,20,1
448,1.1076119,.4751079,-.0068443,.9109692,1160,-.0215708,4.195156,15.57208,.0220996,-.1225749,-489.5221,489.5221,-3.101619,-.6383114,21,1
449,0,.4733257,.0103226,.9074009,4330,.2360688,1.971078,15.43733,.029678,.2260548,603.5049,-603.5049,-2.329065,-1.692349,58,1
450,8.920e-14,.3564107,.0037983,.9117943,1193,.1678283,.8783634,3.099695,.0191402,.3260171,128.0035,-128.0035,.6485585,.1478025,26,1
451,0,.9200068,.0112694,.8950465,13904,.0597245,.7555959,4.215451,.0349218,.0375871,6408.96,-6408.96,-1.315181,-1.349397,81,1
452,.50262848,.480582,-.0046585,.9154769,659,.2549568,.7562666,2.844991,.0313684,-.0965842,-16.81671,16.81671,.9747443,.4401077,28,1
456,1.625e-25,.1549177,-.0008138,.9088273,696,-.4828392,.6458583,1.520852,.0105795,-.4936143,-16.51743,16.51742,-.3237448,.1952501,,1
