true_alpha,base_failure_rate,failure_sd,n_reps,bias,rel_bias,rmse,coverage_95,reject_null
0.05,0.05,0.01,31,0.7721260463406746,15.442520926813492,0.9872791680964258,0.9354838709677419,0.06451612903225806
0.05,0.05,0.02,29,0.8317909864161057,16.635819728322115,1.1162449472296947,0.9655172413793104,0.034482758620689655
0.05,0.05,0.03,21,0.5558978674053807,11.117957348107614,0.8115026057134391,0.9523809523809523,0.047619047619047616
0.05,0.09,0.005,30,0.5333694478687074,10.667388957374147,0.6898803539423244,0.9,0.03571428571428571
0.05,0.09,0.01,24,0.49244004396092317,9.848800879218462,0.6292502219888371,1,0
0.05,0.09,0.02,28,0.6047056506400351,12.094113012800701,0.7742093733771317,0.8928571428571429,0.10714285714285714
0.05,0.09,0.03,27,0.6539860340417533,13.079720680835065,0.7848827571310518,0.8888888888888888,0.07692307692307693
0.05,0.09,0.05,31,0.4482268382493253,8.964536764986505,0.6251627174629969,0.8709677419354839,0.06896551724137931
0.05,0.09,0.08,30,0.36217060770464216,7.243412154092843,0.6397278378017942,0.9666666666666667,0.03333333333333333
0.05,0.15,0.005,24,0.39121985180751195,7.824397036150239,0.5309171970023742,0.9166666666666666,0.043478260869565216
0.05,0.15,0.01,24,0.4072851136040627,8.145702272081254,0.5036327896809741,0.9583333333333334,0.041666666666666664
0.05,0.15,0.02,32,0.2877350403229367,5.754700806458732,0.3605113276491716,0.9375,0
0.05,0.15,0.03,25,0.2797188403047298,5.594376806094596,0.3765828798761493,0.96,0
0.05,0.15,0.05,25,0.45665981201821265,9.133196240364253,0.6111879541584867,0.96,0.04
0.05,0.15,0.08,22,0.4568556301744016,9.137112603488031,0.6214549607619091,0.9090909090909091,0.09090909090909091
0.05,0.2,0.005,32,0.30960951228509076,6.192190245701815,0.4567130127197878,0.875,0.06666666666666667
0.05,0.2,0.01,27,0.39098686403793986,7.819737280758797,0.4993794518052498,0.8888888888888888,0.07692307692307693
0.05,0.2,0.02,28,0.4572517081805753,9.145034163611506,0.6127614716907283,0.9285714285714286,0.07142857142857142
0.05,0.2,0.03,26,0.32428058534857723,6.485611706971544,0.40636997861364293,0.9615384615384616,0
0.05,0.2,0.05,27,0.324659583201575,6.4931916640314995,0.4193693793205627,0.9259259259259259,0.07407407407407407
0.05,0.2,0.08,25,0.4204607935505076,8.40921587101015,0.5394540647850529,0.96,0.08
0.1,0.02,0.005,31,1.9503766649095629,19.503766649095628,3.6530965492067686,0.9032258064516129,0.0967741935483871
0.1,0.02,0.01,26,1.2978108830123078,12.978108830123077,1.8474584723426588,1,0
