config_id,true_alpha,base_failure_rate,failure_sd,eta,n_reps,mean_alpha,median_alpha,bias,rel_bias,rmse,sd_hat,mean_se,coverage_95,reject_null,alpha_label
39,0.05,0.05,0.03,1,21,0.6058978674053808,0.4636632855713782,0.5558978674053807,11.117957348107614,0.8115026057134391,0.6057967828393805,0.9261849835960584,0.9523809523809523,0.047619047619047616,alpha = 0.05
40,0.05,0.09,0.03,1,27,0.7039860340417533,0.669871603513728,0.6539860340417533,13.079720680835065,0.7848827571310518,0.44225239323783766,0.689142883785378,0.8888888888888888,0.07692307692307693,alpha = 0.05
41,0.05,0.15,0.03,1,25,0.3297188403047298,0.30035529850938797,0.2797188403047298,5.594376806094596,0.3765828798761493,0.25733416139167703,0.5139590202599109,0.96,0,alpha = 0.05
42,0.05,0.2,0.03,1,26,0.3742805853485772,0.3340996190114087,0.32428058534857723,6.485611706971544,0.40636997861364293,0.24975549632353283,0.4493281714264144,0.9615384615384616,0,alpha = 0.05
43,0.05,0.09,0.05,1,31,0.4982268382493253,0.40432503281970866,0.4482268382493253,8.964536764986505,0.6251627174629969,0.4430031929207995,0.6730687327189101,0.8709677419354839,0.06896551724137931,alpha = 0.05
44,0.05,0.15,0.05,1,25,0.5066598120182126,0.3954226004063562,0.45665981201821265,9.133196240364253,0.6111879541584867,0.41459384165400254,0.547515041594297,0.96,0.04,alpha = 0.05
45,0.05,0.2,0.05,1,27,0.374659583201575,0.3151078523911498,0.324659583201575,6.4931916640314995,0.4193693793205627,0.27051265051973555,0.47875620669074825,0.9259259259259259,0.07407407407407407,alpha = 0.05
46,0.05,0.09,0.08,1,30,0.4121706077046422,0.29781453751640874,0.36217060770464216,7.243412154092843,0.6397278378017942,0.5363518120118119,0.7040578886396508,0.9666666666666667,0.03333333333333333,alpha = 0.05
47,0.05,0.15,0.08,1,22,0.5068556301744016,0.4245140718513096,0.4568556301744016,9.137112603488031,0.6214549607619091,0.43120884518811375,0.55032057781162,0.9090909090909091,0.09090909090909091,alpha = 0.05
48,0.05,0.2,0.08,1,25,0.47046079355050757,0.3781801649054621,0.4204607935505076,8.40921587101015,0.5394540647850529,0.34493871602430076,0.49816881781669936,0.96,0.08,alpha = 0.05
49,0.1,0.02,0.005,1,31,2.050376664909563,1.0015847075044233,1.9503766649095629,19.503766649095628,3.6530965492067686,3.139933667807237,1.9288797974194936,0.9032258064516129,0.0967741935483871,alpha = 0.1
50,0.1,0.05,0.005,1,27,0.732268683051052,0.7535065059178949,0.632268683051052,6.322686830510519,0.8076387603132884,0.5120828639757734,0.9462625710111133,1,0,alpha = 0.1
51,0.1,0.09,0.005,1,27,0.5620602416721935,0.41311026303424697,0.4620602416721935,4.620602416721935,0.6480137096526702,0.46299180612530744,0.6873209561130852,0.9629629629629629,0.037037037037037035,alpha = 0.1
52,0.1,0.15,0.005,1,31,0.4912013386732048,0.3697649579084031,0.3912013386732048,3.9120133867320477,0.6097237989489496,0.47541081646564665,0.5610386613420371,0.9354838709677419,0.06451612903225806,alpha = 0.1
53,0.1,0.2,0.005,1,35,0.4332170375403721,0.398453134202699,0.3332170375403721,3.332170375403721,0.4264109813566603,0.2699534590608325,0.4748820545113987,1,0.05714285714285714,alpha = 0.1
54,0.1,0.02,0.01,1,26,1.3978108830123077,0.8430013993589134,1.2978108830123078,12.978108830123077,1.8474584723426588,1.3408733376885766,1.547592097166051,1,0,alpha = 0.1
55,0.1,0.05,0.01,1,32,1.0541487249767416,0.8255941562169047,0.9541487249767417,9.541487249767417,1.45974304347087,1.1224167306535253,0.9782467685243715,0.9375,0.0625,alpha = 0.1
56,0.1,0.09,0.01,1,30,0.725896793211106,0.6579204722975014,0.625896793211106,6.2589679321110605,0.7921153791602027,0.49378898692014145,0.7001402714701548,0.9333333333333333,0.1,alpha = 0.1
