hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
365,-.15460767,.76703947,.08070342,.03935097,3626,336,258,8.330943,23.04606,.6210837,2.310969,.1057225,.1188638
366,.01061769,.6071487,.05507461,.03610187,3960,305,223,9.663636,21.94804,.5408199,2.127319,.0841316,.1888889
367,.00074742,.65011352,.10256671,.07571861,1045,116,99,6.898565,23.54624,.6468354,2.474544,.257354,.1894737
368,.0148239,.56626316,.04655673,.03860588,3721,264,144,10.1978,23.19902,.4312708,1.779404,.3274519,.3356625
369,-.06095134,.43052976,.07255782,.04699321,1012,141,109,8.209486,11.61255,.3268293,1.1857,.1535331,.1086956
370,.03979726,.27637228,.08333202,.0738201,1248,145,140,8.827724,17.8996,.6755319,2.828756,.4470769,.1682692
373,-.05151024,.71743755,.07948342,.05182453,2333,211,140,8.97471,24.69888,.2842704,1.553787,.3702058,.0244321
374,-.00749738,.72348004,.09015485,.0607941,1131,119,90,8.794871,15.97764,.6662338,2.530357,.1827612,.0512821
375,-.03325399,.54856345,.09834903,.08850114,708,95,105,7.682203,13.00286,.3348018,1.426743,.2252027,.0338983
376,-.00502501,.63259279,.08879544,.06955225,904,107,99,7.761062,9.841341,.2973451,1.321429,.1865309,.1382743
377,-.03201603,.62872878,.03918237,.03034187,4356,379,220,9.969008,20.386,.2896133,1.443848,.3368196,.0103306
380,-.05876387,.95136879,.03989843,.0339166,8763,636,394,11.0736,15.07934,.3611207,2.00552,.0961295,.0708661
382,-.03754859,.74940175,.08852457,.10909597,1091,115,117,9.28506,14.15264,.6760375,2.895564,.1524707,.0568286
383,.05268419,.55447141,.05200792,.0794414,1472,107,117,10.73573,17.65753,.680831,3.443989,.1119438,.0108696
385,-.05384739,.96484193,.04608049,.04207648,2947,306,242,10.83678,12.88137,.3865645,1.819918,.0795266,.1224975
386,-.01223877,.64369834,.06494848,.08990394,1107,109,102,9.559169,20.51097,.4539106,2.387978,.3327752,.0171635
388,-.11726835,.91550022,.18387063,.09699992,618,74,64,7.334951,12.09984,.5112613,2.172638,.1545753,.3851133
390,.03972803,.81746128,.05524596,.05477806,1290,112,130,9.24186,14.98039,.4230331,2.164973,.2569966,.0031008
391,-.17151757,.87624074,.04303657,.0310427,10295,806,485,11.46576,23.36283,1.308745,3.065561,.0430263,.0513842
393,.02747357,.60017605,.09570406,.08882539,1194,90,123,8.982412,9.782572,.6489104,2.229536,.0929957,.0963149
394,-.05617922,.86737557,.05010708,.03391717,4766,416,268,10.2031,18.21365,.4791468,2.153619,.1265389,.1051196
396,-.05544755,.5309155,.13493049,.09446861,671,108,100,5.436662,28.49474,.5888031,2.780781,.1193339,.0119225
397,-.1275661,.81306159,.04714365,.02734908,6639,757,578,9.909625,15.03118,.5293374,2.066899,.0511767,.0430788
399,-.00460666,.69761235,.07671084,.07683054,937,110,78,7.73746,19.40236,.5350877,3.012889,.2296061,.26254
402,-.12944974,.72621944,.11169897,.06058371,936,121,87,6.066239,25.8086,.5148936,2.314317,.1478742,.0106838
406,-.16940808,.76224614,.16938228,.12742788,664,68,93,9.512048,14.36391,1.494033,3.272037,.1762094,.126506
411,-.14171232,.69853194,.12595134,.09740954,423,57,65,6.690307,8.408551,.3531353,1.668246,.1811389,.2718676
412,-.09392243,.78799763,0,0,4893,391,286,10.40425,12.98764,.570915,2.026932,.0603874,.0267729
413,-.01766739,.77112933,.10814988,.07394804,783,133,80,5.809706,17.85511,.457539,1.970361,.5315591,.6168582
416,-.07291326,.98637399,.074351,.05129668,2504,268,189,9.661342,19.95889,.5365152,2.640902,.1710672,.2188498
418,-.03648943,.65046324,.12844831,.09300463,750,110,90,7.870667,14.43758,.4578313,1.962466,.2257991,.112
420,.04078687,.75945065,.10038017,.08753728,826,97,102,8.714286,17.14234,.5189655,2.174757,.179763,.0895884
421,-.07531054,.62637094,.10238578,.05460198,1513,122,83,9.473893,25.66025,.5760971,2.557616,.1897147,.300727
422,-.0734834,.79337887,.0786724,.04757812,1489,121,101,10.64003,14.80014,.6461988,2.509817,.2949938,.4137005
424,.04105292,.68396998,.11183737,.06465553,1559,173,181,8.234766,9.355484,.5023127,1.587404,.0937605,.1533034
426,-.07567852,.84954094,.04690861,.04400108,5149,420,303,11.76461,16.23427,.3911883,1.887417,.1103805,.0285492
427,-.05697325,.65735608,.06113949,.05009922,3206,267,171,8.712102,15.58844,.2885359,1.623234,.1438067,.1818465
428,.05825542,.39542676,.069991,.052906,1388,128,95,8.916427,17.89309,.305293,1.635507,.3368156,.0461095
429,-.13162243,.86323442,.05824984,.05271432,2823,200,146,10.91428,22.03745,.375853,2.225623,.2106635,.1222104
430,-.01576887,.70334752,.03443712,.0343958,5414,341,197,10.91651,24.62353,.3245946,1.801263,.1995775,.0467307
431,-.02484184,.72753292,.04788728,.04188474,6709,494,281,11.5351,18.92253,.3973648,1.993547,.2866378,.0324937
432,-.09684461,.64098758,.05808653,.04259088,2988,216,185,8.222222,24.86557,.3562387,1.745626,.2212379,.103079
435,-.02254271,.68600201,.03183886,.04839493,1934,234,183,10.24043,12.96707,.4119629,2.073361,.1359683,.0496381
437,-.26789012,.9137008,.08947855,.05794524,1040,200,167,8.256731,9.158561,.2891761,1.515504,.2593269,.1884615
438,-.18438986,.71222594,.10065156,.04990115,1095,168,114,7.621005,13.11121,.4198175,1.782369,.5551903,.0155251
439,-.09548862,1.0086506,.067524,.03848713,6112,565,353,9.67572,11.04449,.3250449,1.460615,.1973255,.2038613
440,-.02028701,.74551708,.05923203,.03369826,5082,401,284,9.066313,10.4355,.4377023,1.841066,.0675172,.1646989
441,-.10081671,.91644529,.06560293,.06135117,1775,223,149,8.23493,13.33922,.385274,1.812962,.3129966,.2777465
443,-.04193826,.73448407,.06631014,.03935026,2413,232,204,8.85661,16.00585,.4984858,2.084548,.0772561,.055947
444,-.13339283,.69365024,.12592193,.04907572,965,90,72,6.888083,17.82759,.6841416,2.210198,.1956251,.1512953
445,-.07780199,.5327248,.07917093,.04603246,1317,122,102,8.690965,12.76894,.5515743,2.094109,.1857463,.0592255
446,.12429681,.98143231,.13504891,.08031669,365,96,87,4.30137,9.586111,.9116466,1.672176,.095425,.2931507
447,-.03933139,.8067309,.05911046,.06042003,1294,147,120,7.525502,11.82646,.5282609,1.624806,.1893963,.2194745
448,-.01340124,.71492052,.10691938,.03304816,1108,115,94,6.703069,15.75703,.8743902,1.673007,.2401585,.6814079
449,-.14201101,.95700666,.06387816,.03076159,4465,420,255,8.074356,12.2901,.5190108,1.896381,.0974765,.5393057
450,-.22741734,.85999948,.12292828,.065159,1142,193,159,5.552539,9.870484,.4645309,1.609842,.1558746,.4168126
451,-.00629246,.91508806,.03857749,.02343338,10126,840,436,9.383073,18.23187,.5382006,2.01378,.0905648,.3491013
452,-.11817077,.82426316,.2744689,.05266324,544,85,97,6.308824,10.65314,1.577608,2.672192,.1455315,.4466912
456,.10752376,.78924292,.11681827,.0783928,738,89,83,7.111111,11.07056,.4266917,1.622283,.226302,.2750677
457,.03497968,.36402223,.13696079,.13522917,652,96,109,9.92638,11.3587,.4235294,2.126739,.1442659,.0720859
