coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
2.7500068,.21880527,6,5,1,-7112.241,15,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.9412646,.1864565,6,5,1,-7112.241,4,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.3514439,.2245402,6,5,1,-7112.241,10,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.7046601,.260219,6,5,1,-7112.241,20,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.1385603,.1344618,6,5,1,-7112.241,1,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.6140682,.16915168,6,5,1,-7112.241,3,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.8104003,.2215362,6,5,1,-7112.241,5,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.2642252,.16768856,7,1,1,-3221.206,4,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.1804286,.20745162,7,1,1,-3221.206,10,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.0442362,.12016317,7,1,1,-3221.206,2,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.2340746,1.5211716,7,1,1,-3221.206,20,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.4638876,.19101011,7,1,1,-3221.206,5,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.3593681,.14218698,7,1,1,-3221.206,3,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
.55783028,.12612735,7,1,1,-3221.206,1,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.8868008,.29956978,7,1,1,-3221.206,15,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.7206287,.19164379,7,1,1,-3221.206,7,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
.56435163,.10647499,7,5,1,-3221.21,1,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.1890385,.19746997,7,5,1,-3221.21,10,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.0516265,.10999425,7,5,1,-3221.21,2,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.3668092,.12298869,7,5,1,-3221.21,3,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.8957828,.28139721,7,5,1,-3221.21,15,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.4716472,.17543702,7,5,1,-3221.21,5,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.2718997,.15202035,7,5,1,-3221.21,4,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.242253,1.5188561,7,5,1,-3221.21,20,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.7293729,.16439712,7,5,1,-3221.21,7,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
3.3559991,.61792046,9,1,1,-217.5457,7,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.4627996,.84579031,9,1,1,-217.5457,4,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.4142009,.85088313,9,1,1,-217.5457,5,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
4.86599,1.1454638,9,1,1,-217.5457,20,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.0563154,.51995051,9,1,1,-217.5457,2,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.495915,.36193711,9,1,1,-217.5457,1,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
3.1433728,.69584,9,1,1,-217.5457,3,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
3.5054473,.72572209,9,1,1,-217.5457,15,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.4020937,1.2972726,9,1,1,-217.5457,10,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
5.6354379,1.2799268,9,5,1,-217.4525,20,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
3.2412121,1.0324026,9,5,1,-217.4525,4,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
3.2576295,1.3299291,9,5,1,-217.4525,10,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.7239118,.72880214,9,5,1,-217.4525,2,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
4.3759446,1.002338,9,5,1,-217.4525,15,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
3.8801573,.89111764,9,5,1,-217.4525,3,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.0366416,.53025681,9,5,1,-217.4525,1,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
4.1785504,.78008366,9,5,1,-217.4525,7,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.1396753,1.0124165,9,5,1,-217.4525,5,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.3764474,.220833,10,1,1,-1593.892,4,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
2.3443907,.62263635,10,1,1,-1593.892,20,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.6846505,.31441524,10,1,1,-1593.892,10,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.2905103,.2418917,10,1,1,-1593.892,3,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
2.3268495,.34623999,10,1,1,-1593.892,15,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
.8859127,.16427755,10,1,1,-1593.892,1,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.1666056,.24106381,10,1,1,-1593.892,5,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
.86193144,.19470331,10,1,1,-1593.892,2,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.5755724,.30158124,10,1,1,-1593.892,7,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.8337587,.39328461,10,5,1,-1594.551,10,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.3067536,.31800377,10,5,1,-1594.551,5,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.7178161,.38201555,10,5,1,-1594.551,7,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
.97798552,.2246671,10,5,1,-1594.551,1,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
2.5014033,.64742204,10,5,1,-1594.551,20,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
.97453599,.2757478,10,5,1,-1594.551,2,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.4139714,.32021647,10,5,1,-1594.551,3,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
2.475238,.39711503,10,5,1,-1594.551,15,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
1.5125859,.30581854,10,5,1,-1594.551,4,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
.93042141,.07411478,11,1,1,-10711.95,1,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.2151036,.13170664,11,1,1,-10711.95,7,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.3836856,.08677734,11,1,1,-10711.95,2,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.6961544,.14210351,11,1,1,-10711.95,10,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.8730748,.13446752,11,1,1,-10711.95,4,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.1091094,.12904097,11,1,1,-10711.95,5,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.5608739,.1151676,11,1,1,-10711.95,3,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.9738146,.21730082,11,1,1,-10711.95,15,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
3.1103908,.14872524,11,1,1,-10711.95,20,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
3.115814,.13769703,11,5,1,-10711.95,20,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
.93407451,.06133874,11,5,1,-10711.95,1,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.3877717,.0751192,11,5,1,-10711.95,2,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.565601,.0987042,11,5,1,-10711.95,3,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.9784594,.19675317,11,5,1,-10711.95,15,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.2201372,.1112327,11,5,1,-10711.95,7,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
