coef_val,coef_se,hrr,eta,converged,log_like,Specialist_ID,time_period,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1.1629723,.80301446,1,1,1,-16708.45,1205817467,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6935395,.45625666,1,1,1,-16708.45,1205817467,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0171883,.22199169,1,1,1,-16708.45,1205834686,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3656528,.25823662,1,1,1,-16708.45,1205834686,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.5792068,.29169369,1,1,1,-16708.45,1205895323,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1369333,.39539565,1,1,1,-16708.45,1205895323,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.35274301,.48557706,1,1,1,-16708.45,1215034483,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.25208243,.1905724,1,1,1,-16708.45,1225027790,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.2751831,.22394584,1,1,1,-16708.45,1225027790,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6031784,.75384752,1,1,1,-16708.45,1225265101,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1665463,.36356242,1,1,1,-16708.45,1235160847,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.22641147,.65233342,1,1,1,-16708.45,1245201151,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.27959471,.36639439,1,1,1,-16708.45,1255391587,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4350475,.249687,1,1,1,-16708.45,1265430557,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.87507248,.4796404,1,1,1,-16708.45,1265430557,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.79464667,.33653455,1,1,1,-16708.45,1265476592,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.772727,.54718893,1,1,1,-16708.45,1265492441,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.76617683,.91229519,1,1,1,-16708.45,1265492441,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.56757891,.69534329,1,1,1,-16708.45,1275589434,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1999415,.612141,1,1,1,-16708.45,1275589434,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2168934,.42949,1,1,1,-16708.45,1285962852,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1851004,.29163099,1,1,1,-16708.45,1295702025,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.17208657,.37533776,1,1,1,-16708.45,1295992386,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.60544042,.24783053,1,1,1,-16708.45,1295992386,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.04725889,.21818278,1,1,1,-16708.45,1316936883,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.230654,.22413708,1,1,1,-16708.45,1316936883,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.047076,.36001859,1,1,1,-16708.45,1326199530,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.1059681,.48408269,1,1,1,-16708.45,1326199530,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30886726,.22838607,1,1,1,-16708.45,1356373583,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.04724928,.3107628,1,1,1,-16708.45,1356373583,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.65371006,1.0867816,1,1,1,-16708.45,1366434078,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6263034,.24840362,1,1,1,-16708.45,1366515033,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.1615842,.26701546,1,1,1,-16708.45,1366515033,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8315135,.37433271,1,1,1,-16708.45,1366767261,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-12.566718,.99324088,1,1,1,-16708.45,1376526178,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.22858614,.23736202,1,1,1,-16708.45,1376569327,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.08674582,.28359123,1,1,1,-16708.45,1376569327,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.12748701,.41035498,1,1,1,-16708.45,1376598458,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.402305,.36757525,1,1,1,-16708.45,1376598458,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4436303,.23844876,1,1,1,-16708.45,1396743779,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.9873889,.26808014,1,1,1,-16708.45,1396743779,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.20644757,.36724448,1,1,1,-16708.45,1407065063,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3769347,.31568476,1,1,1,-16708.45,1427009349,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98506869,.3094515,1,1,1,-16708.45,1427020122,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3174888,.3864609,1,1,1,-16708.45,1427020122,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.97457456,.30140268,1,1,1,-16708.45,1427077338,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.39493467,.6027677,1,1,1,-16708.45,1427077338,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30132139,.99396745,1,1,1,-16708.45,1427216449,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.1828613,.43463145,1,1,1,-16708.45,1437119765,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.36979317,.56998994,1,1,1,-16708.45,1437119765,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.21197777,.58573544,1,1,1,-16708.45,1437120730,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4669487,.5412799,1,1,1,-16708.45,1437120730,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.31001091,.23593136,1,1,1,-16708.45,1437194438,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29631482,.27219484,1,1,1,-16708.45,1437194438,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.4348034,.95859033,1,1,1,-16708.45,1437265055,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4539943,.45370021,1,1,1,-16708.45,1437270691,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2738168,.38690382,1,1,1,-16708.45,1437270691,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.92984684,1.0258255,1,1,1,-16708.45,1457350282,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0689028,.82843698,1,1,1,-16708.45,1457350282,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3960941,.34892435,1,1,1,-16708.45,1477514180,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8075573,.27469449,1,1,1,-16708.45,1477514180,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.7915081,.47709113,1,1,1,-16708.45,1487622031,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.40958537,.66217663,1,1,1,-16708.45,1508805482,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.0636012,.6342518,1,1,1,-16708.45,1508805482,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.61242439,.53526793,1,1,1,-16708.45,1508919622,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
