hrr,coef_m,pij_diff_full,pij_diff_current,pij_diff_fullfam,health_full,health_current,health_fullfam,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual_full,corr_realloc_qual_fullfam,realloc_to_highq_full,realloc_to_lowq_full,realloc_to_highq_fullfam,realloc_to_lowq_fullfam,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
192,.31283267,.3299646,.2355383,.3586836,-.0003673,-.0002627,-.0004889,.9075066,6126,.2312503,.8986647,3.613244,.0481056,-.0191142,-.0213183,75.79425,-75.79426,104.812,-104.812,-.4042735,-.7564568,96,1
193,7.288e-14,.30284,.1891318,.3573867,.0012206,.0001243,-.0027173,.9020933,848,-.2403869,.776709,2.995834,.0315232,.0346671,-.0971914,-73.46428,73.46428,-27.30335,27.30335,.7044899,1.06608,40,1
194,.75441572,.2436462,.1994159,.2865931,.0017756,.0018876,-.0021164,.9072512,1981,-.0200087,2.921303,16.97935,.0402879,.0883054,-.1210879,43.87241,-43.87241,-86.55731,86.5573,.6387535,1.218036,59,1
195,.8201153,.2034497,.1670814,.27239,-.0010326,.0027346,-.0080311,.8944098,945,.0792189,.6963723,2.75612,.0355537,-.1313928,-.2723148,-1.777467,1.777464,-82.61194,82.61194,.4518368,.1981136,30,1
196,.26814015,.2366484,.1883529,.2629252,-.0017752,-.0004263,-.0013517,.9118226,1567,-.0767791,2.378137,15.40066,.0314896,-.1372341,-.1245893,-87.82955,87.82955,-21.14804,21.14804,.2373972,1.352624,38,1
197,.08050392,.2696218,.1894622,.2890514,.0011461,.0010751,-.0019654,.893653,1290,.3291987,2.370458,15.89581,.0363482,.1037862,-.1303215,15.56993,-15.56993,-31.85702,31.85702,.9113581,-.0841031,43,1
200,.31147605,.2182721,.1712752,.2909398,.0022396,.0021436,-.0018863,.9051341,3562,-.0491032,1.902666,15.48997,.0343779,.2321345,-.0705694,142.8538,-142.8538,-171.569,171.569,-.6160078,-.4574058,66,1
201,0,.2480995,.184431,.2918296,.0001238,.0008915,-.0052983,.9104221,7281,.3440303,.8792246,3.787188,.0483061,.0091473,-.233767,-5.700224,5.700213,-440.1613,440.1613,.3163925,-.2748708,81,1
203,3.124e-16,.1600939,.1465418,.1849071,-.000918,-.0008429,-.0021624,.8868234,2080,.1077311,1.028626,4.629985,.0477039,-.0371236,-.0738008,-63.08785,63.08785,67.90491,-67.90491,-.6983224,-.5539306,58,1
204,6.139e-26,.2770585,.2141929,.3085119,-.0032964,-.0015044,-.0041224,.8794305,2317,.1623508,1.774348,15.42045,.0543066,-.0823992,-.116491,-71.61945,71.61945,-80.92194,80.92195,-.3024681,-.707663,107,1
205,7.481e-06,.3291474,.2449135,.3734661,-.001262,.0005647,-.0060648,.8943674,9695,.2478254,.8205251,3.783421,.0534763,-.0770586,-.2067496,-93.32062,93.32062,-609.9893,609.9894,-.3487164,-.6942548,123,1
207,1.085e-18,.3044035,.2572578,.3254687,.0008249,.0002203,.0010648,.8809973,234,.0411626,2.218027,14.65242,.0469705,.0372412,.0381119,3.8557,-3.855701,3.492829,-3.492828,.3933573,-.3747502,37,1
208,.31231564,.2081731,.1675518,.269986,-.0000259,.0006027,-.0031998,.8749019,1864,-.0175005,3.619318,16.18174,.0419056,-.0024652,-.1489029,1.103242,-1.103242,-47.49934,47.49934,-.9890549,-1.064936,59,1
209,4.397e-29,.1787401,.1447211,.2051513,.0007248,.0014846,-.0066245,.9057384,1047,.3186883,.7163907,3.381675,.0454047,.0687548,-.3374016,8.305215,-8.305219,-78.19485,78.19485,-.311047,-.530112,37,1
210,.15717646,.1663398,.1489718,.2140679,-.000815,.0021782,-.0087574,.8948606,1514,-.0750515,3.214128,16.88801,.043893,-.0812832,-.2869292,-22.34938,22.34938,-102.2533,102.2533,-.715471,.0821451,45,1
212,.4783503,.2319523,.1586665,.3020681,.0030648,.0016041,-.003522,.906783,857,.1585981,.8465499,3.659015,.0422084,.1269998,-.1436629,13.55936,-13.55935,-59.78637,59.78637,.8683741,.5693384,41,1
213,.00855342,.1962023,.1574023,.2729132,.0001059,.0007455,-.0049163,.901872,2875,.3021091,.8881758,4.453001,.0550839,.0079429,-.2006222,45.06115,-45.06115,-213.8905,213.8905,.2943961,-.4071839,49,1
214,0,.139565,.1183077,.1793099,-.0012707,.0002338,-.0071853,.9031233,1373,.3613479,.8102093,3.839055,.0659814,-.1644485,-.2084635,-16.52282,16.52282,-95.67595,95.67595,.5811225,.0787136,26,1
217,0,.1408773,.1237582,.1929948,-.000294,.0011186,-.0065801,.8980989,475,.1631173,.6445133,2.562245,.0320652,-.1035002,-.4042243,1.734077,-1.734077,-34.42634,34.42634,.3555089,.1757344,13,1
218,7.330e-18,.3242745,.2575254,.3626022,-.0058691,-.0019987,-.0092584,.8917789,214,-.5884292,5.464247,25.18649,.0420046,-.4214922,-.421207,-16.38192,16.38192,-25.57946,25.57946,-3.201027,.7103099,18,1
219,.07468412,.1998702,.1623715,.2306135,.000711,.0005495,-.0030884,.8903266,2315,.2016349,2.312632,16.90689,.0445357,.0847811,-.1759812,16.8699,-16.8699,-123.8412,123.8412,-.3634803,-.4517108,64,1
220,1.744e-13,.1862205,.1654385,.2161806,.0004707,.0004937,-.0014009,.8966469,248,-.0714368,3.384495,16.67107,.0459281,.0465049,-.0937269,2.871388,-2.871387,-3.618617,3.618618,-.6672212,-.0749644,38,1
222,0,.2815305,.2165226,.3365545,-.0010578,.0000157,-.0014486,.9035274,3969,.0191612,2.604202,17.24233,.0419608,-.0692231,-.0676584,-104.4499,104.4499,-175.5907,175.5907,-1.067905,-.6493316,96,1
223,.09692863,.3809488,.2709392,.4167061,-.0013786,.0002827,-.0030842,.8970442,14561,.130789,2.02736,17.2461,.0479691,-.079278,-.0921341,-181.662,181.6621,-641.7687,641.7687,-1.429048,-1.218085,198,1
225,.15194628,.2062791,.1629916,.3053156,.0010615,.0012104,-.0022327,.9029575,4352,-.1392791,3.90341,16.7663,.0336259,.0844346,-.0951516,67.88937,-67.88936,-146.2694,146.2694,-.6831783,.666986,79,1
226,9.612e-14,.3641613,.2910609,.3755958,-.0022336,-.0011927,-.0026882,.9006989,2323,-.04791,2.94516,16.85288,.0508872,-.057978,-.0577192,-109.1878,109.1878,-139.7033,139.7033,-1.602232,-.907373,135,1
230,.27772421,.205799,.1679636,.2860776,.0008972,.0009704,-.002047,.9090506,3121,.1516401,3.445579,18.14505,.0446412,.0328016,-.045248,51.17772,-51.17772,-209.2446,209.2446,.6495998,-.1087923,125,1
231,0,.3723503,.2543281,.393493,.0008547,.000454,-.0000852,.9054806,977,.1944337,3.37748,18.98736,.0438015,.0340841,-.0020322,49.17341,-49.17342,11.18433,-11.18433,-1.459524,-2.17128,100,1
232,.38096034,.4126681,.3047045,.4507612,-.0001978,.0003088,-.0015161,.8836237,5797,.1490926,.7076349,3.539495,.0398675,-.0075432,-.0667521,-46.82234,46.82232,-75.31705,75.31702,-.803399,-.8391426,154,1
233,.20957656,.3777305,.289487,.3916547,.0038965,.0021421,-.0045749,.886597,2397,.1650842,.8852603,4.481041,.039208,.0854718,-.1596126,28.82152,-28.82152,-149.8839,149.8839,.0937021,-.1967397,91,1
234,5.39e-208,.3660922,.2915059,.3854287,-.0007047,-.0002031,-.0015954,.8763312,5833,.094249,1.592845,16.86408,.0433006,-.0420977,-.0627746,-99.93417,99.93417,-163.6627,163.6627,-.7364139,-1.150171,123,1
235,.25206886,.4298539,.2852862,.4489601,-.0002352,-.0005092,-.0005568,.8826539,2841,.0601362,1.890408,15.25548,.0343925,-.0066723,-.0185194,-67.04463,67.04464,48.46028,-48.46027,-.5587587,-.6215424,125,1
236,.73041859,.2854509,.2274744,.3396164,.0008215,.0008292,-.0005952,.8990838,2342,.05417,2.396792,17.16126,.0338924,.0664547,-.0300075,-10.21029,10.21029,13.89848,-13.89848,-.2801022,-.2930363,92,1
238,.11015109,.2846002,.2098152,.3368244,.0016876,.0015286,-.0005794,.8963393,2654,-.0371856,3.247664,17.12945,.0436056,.0869457,-.0231415,26.18731,-26.18731,-10.5261,10.5261,.3538125,-.2229622,112,1
239,.24932985,.2257872,.1859881,.2708623,.0000126,.0013696,-.0037529,.896808,3501,.1238272,2.418079,18.41998,.0298098,.0012289,-.1360929,-54.97866,54.97865,-234.4094,234.4094,.821177,.8506422,102,1
240,1.176932,.1291908,.1119106,.1753902,.0013353,.0013166,-.000467,.9135416,619,.4475252,1.277704,4.358415,.0547276,.1998105,-.041416,4.487674,-4.487673,-.4754581,.4754589,.4824432,-.4300439,13,1
242,.42811428,.158509,.1419649,.1947725,.0012404,.0007004,.0019859,.9009673,1136,-.1685066,3.286748,16.95374,.0322654,.2348145,.1619035,9.364693,-9.364697,28.42977,-28.42976,-.0764297,1.460607,43,1
243,.42241176,.1693424,.142138,.211682,-.0013714,-.0005933,-.001588,.8959483,768,.5398868,1.025252,4.87979,.0414786,-.0916793,-.0993041,-6.306919,6.306921,-27.09271,27.0927,.1620406,-.7730528,32,1
244,.41235277,.3921747,.3236846,.409783,-.0026336,.000385,-.0057958,.8955284,2367,.093418,2.219527,17.15711,.0407271,-.0968734,-.1592249,-45.81002,45.81002,-111.6815,111.6815,-.5284678,-.3216578,105,1
245,.24993034,.3572881,.2952566,.3672039,-.0021853,-.0014191,-.0025235,.8823172,3306,.0653191,2.248945,17.06143,.0427304,-.0883878,-.0762154,11.59113,-11.59114,-33.50938,33.50937,.0631023,.2822903,105,1
246,.28610196,.268853,.1982435,.3596339,.0010066,.0009648,-.0026173,.879025,3338,.0433875,4.233169,15.80247,.0399035,.1143654,-.0921495,33.69231,-33.69231,-82.42726,82.42726,-.8857824,-1.230497,101,1
248,.8904122,.1854588,.1595243,.2616481,.0000514,-.0002739,-.0002766,.9095027,764,-.3350695,.9297163,3.262798,.0367228,.0097102,-.0096003,6.650642,-6.650642,19.20364,-19.20364,.5397877,.8115743,51,1
249,.34353972,.164046,.1341646,.1821636,-.0003179,.0004099,-.0022579,.9028241,1457,.2934936,1.070086,4.162299,.0315823,-.073349,-.2070564,-6.990332,6.990332,-51.62551,51.62551,-.8170922,-1.500216,33,1
250,.19635008,.3278169,.2363882,.3433094,-.0003235,.0006724,-.0024883,.9004251,1202,.4529358,.5720945,1.840642,.0343858,-.0279005,-.1460826,-39.43818,39.43818,-91.48181,91.48182,-.0216153,-.6337938,33,1
251,.13576905,.4183995,.3054774,.4249525,-.0007018,-.0003633,-.0024889,.8982478,5536,.1155413,1.27185,17.39258,.0490032,-.0242079,-.0903002,-66.54487,66.54488,-133.32,133.32,-.452725,-.6548499,254,1
253,1.640e-36,.3704748,.2583546,.394759,.0018832,.0003311,-.003731,.8963204,787,-.0484356,2.863753,18.09514,.041359,.0530205,-.1473429,-3.143655,3.143657,-10.38751,10.38751,1.100015,.5571055,69,1
254,.19840538,.1054213,.0996981,.1042758,-.0010724,-.0008851,-.0004449,.902332,329,.0086436,4.065457,16.65043,.0428872,-.1937029,-.0611422,-6.297104,6.297104,-4.624443,4.624442,-1.402749,-.2328812,39,1
256,.27837488,.361292,.2723331,.3753302,-.0038606,-.0016906,-.0043342,.9036082,1859,.0995429,5.299173,17.94283,.0426566,-.1839355,-.1677174,-67.43587,67.43587,-61.54175,61.54176,-1.515531,-3.563768,105,1
257,.14669025,.1994157,.155289,.2445958,.0003106,.0014898,-.0061971,.8865125,770,.2925759,.8788328,3.17914,.0427038,.0246538,-.2954688,14.60939,-14.60939,-55.05774,55.05774,-.2064487,-.6558182,21,1
258,3.879e-93,.2637907,.1943931,.2819184,-.0007691,-.0000978,-.0024348,.8950806,1175,.0923962,.4930086,2.007238,.04933,-.0409299,-.1049484,-37.18201,37.18201,-49.21779,49.21779,.2707981,.1756617,36,1
259,.09900097,.2640636,.1813166,.3062133,-.0010248,-.0000507,-.007917,.8889852,2323,.0796267,.8275485,3.697356,.0544692,-.0239746,-.1557759,-35.63179,35.63179,-174.5055,174.5055,-1.196833,-1.201506,60,1
260,.03807091,.1387139,.1398444,.147665,-.0031225,-.0029338,-.0033791,.9040296,408,-.1310037,.8619565,3.087544,.0339042,-.4594671,-.4911642,-20.7939,20.7939,-23.18865,23.18865,1.032254,.8883858,24,1
261,.5332556,.1944872,.1707786,.2178114,.0019716,.0016994,.0001902,.8912887,536,-.0026723,2.443589,15.19427,.0440467,.1739679,.0097055,13.41294,-13.41294,12.97843,-12.97843,-.0317506,.3996252,36,1
262,.05443256,.1837804,.1584337,.2314737,.0036288,.0026695,-.0033859,.8987605,1683,-.0725104,4.274332,16.83253,.045436,.1312509,-.286465,64.04594,-64.04593,-56.31823,56.31823,-2.309835,-.1807957,34,1
263,.02616271,.1145554,.097677,.1384337,-.0010412,-.0007672,-.0027618,.9026004,713,-.1252763,4.550422,16.63392,.0411038,-.1452036,-.253485,-2.941243,2.941243,-4.877428,4.877431,-2.098758,.988458,35,1
264,.00844462,.2353997,.1785497,.313746,.003756,.0031358,-.0029499,.8984619,2883,.4967887,1.0744,4.104003,.0414044,.1920218,-.1429558,137.5678,-137.5678,-181.8816,181.8816,.1163865,-.5309574,55,1
267,.19111501,.2482286,.1808499,.3064229,-.0008054,.001239,-.0057695,.8866505,2425,-.1119765,2.83127,16.19786,.0423759,-.0722224,-.1261131,-31.99063,31.99062,-147.6651,147.6651,-1.485933,-.4811171,59,1
268,.07152797,.3573542,.2534167,.4134675,-.0019613,.0000532,-.005278,.8897234,11869,.2865916,.899326,4.977041,.0469393,-.1584409,-.238337,-245.1372,245.1372,-647.7695,647.7695,.2939294,-.0475817,115,1
