coef_val,coef_se,hrr,eta,converged,log_like,Specialist_ID,time_period,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1.6274834,.28131129,1,1,1,-16708.57,1053389031,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.06430181,.58866831,1,1,1,-16708.57,1053471300,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.55797274,1.0254477,1,1,1,-16708.57,1063451391,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3170109,.81055123,1,1,1,-16708.57,1063451391,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.0505267,.70071035,1,1,1,-16708.57,1063624948,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4556936,.30861942,1,1,1,-16708.57,1063647345,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29560906,.73657722,1,1,1,-16708.57,1063656858,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2301645,1.0977143,1,1,1,-16708.57,1073711677,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.57924497,.39981397,1,1,1,-16708.57,1093011991,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1324304,.3516286,1,1,1,-16708.57,1104894021,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3316547,.35839894,1,1,1,-16708.57,1104894021,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.88409322,.25467622,1,1,1,-16708.57,1114925237,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3578026,.26767142,1,1,1,-16708.57,1114925237,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.06739753,1.0233347,1,1,1,-16708.57,1114986239,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.18131647,.99136062,1,1,1,-16708.57,1114986239,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.34006802,.64439468,1,1,1,-16708.57,1124036876,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.15002333,.58684927,1,1,1,-16708.57,1124036876,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.43910633,.49752598,1,1,1,-16708.57,1124230305,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.70051872,.42896186,1,1,1,-16708.57,1134161995,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1829451,.56016887,1,1,1,-16708.57,1134161995,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.12348492,.74071714,1,1,1,-16708.57,1134172638,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2739336,.26466278,1,1,1,-16708.57,1134197171,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.7739874,.28063734,1,1,1,-16708.57,1134197171,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.86304066,.38285261,1,1,1,-16708.57,1154313807,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.01578437,.42160845,1,1,1,-16708.57,1154313807,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.26040137,.17276386,1,1,1,-16708.57,1164411351,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.19647217,.64841024,1,1,1,-16708.57,1164584090,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98922923,.86019028,1,1,1,-16708.57,1164632626,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.15019993,1.0855872,1,1,1,-16708.57,1164632626,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
