coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-.05191869,.00649602,106,5,1,-3606.952,.27107581,.6098019,1995,213,137,9.609022,35.5139,.4705046,2.661119,.3712386,.1598998
-.03765225,.01034626,107,1,1,-2575.846,.12823314,.2630413,1302,96,104,13.70507,16.33385,.4135071,2.972179,.1383149,.109063
-.03766773,.0103541,107,5,1,-2575.907,.15149162,.5224304,1302,96,104,13.70507,16.33385,.4135071,2.972179,.1383149,.109063
-.09843286,.00570688,109,1,1,-5775.769,0,0,3146,332,241,10.15099,26.94592,.5026764,2.388765,.1119827,.0104895
-.09843448,.00570121,109,5,1,-5775.975,5.927e-14,0,3146,332,241,10.15099,26.94592,.5026764,2.388765,.1119827,.0104895
-.11422017,.00397579,110,5,1,-13829.11,1.709e-23,0,6564,648,373,9.292353,28.99509,.4501379,2.265962,.1227582,.0457038
-.12264232,.00359833,111,1,1,-16643.98,.27195489,.1294368,8250,743,392,9.322424,29.64171,.4999138,2.573238,.0793108,.0252121
-.12263383,.00359856,111,5,1,-16644.49,.50185846,.2688933,8250,743,392,9.322424,29.64171,.4999138,2.573238,.0793108,.0252121
-.05722223,.00326909,112,1,1,-16659.59,.0315068,.1544132,7012,461,270,12.17855,45.09106,.4661262,2.835463,.2742204,.0085568
-.05722829,.00326794,112,5,1,-16659.61,3.46e-161,0,7012,461,270,12.17855,45.09106,.4661262,2.835463,.2742204,.0085568
-.06977485,.00298097,113,1,1,-27479.59,.21662467,.1197481,11938,1049,622,11.22399,29.6123,.4871994,2.547049,.0746205,.0214441
-.06978488,.00298209,113,5,1,-27478.62,.56373521,.248131,11938,1049,622,11.22399,29.6123,.4871994,2.547049,.0746205,.0214441
-.06889004,.00989714,115,1,1,-5169.306,.23176601,.1870918,3031,351,210,9.415375,47.2606,.5502622,3.319417,.4182936,.0280435
-.06889837,.00989344,115,5,1,-5169.549,.35643189,.371178,3031,351,210,9.415375,47.2606,.5502622,3.319417,.4182936,.0280435
-.06889246,.00785799,116,5,1,-6150.002,1.775e-17,0,3137,414,269,9.539369,38.31186,.5824338,2.884123,.3033585,.0290086
-.08793478,.003028,118,1,1,-27406.67,.05525466,.1089046,13756,1435,961,14.37656,39.77007,.5366399,3.528373,.0634974,.0327857
-.08793422,.00302787,118,5,1,-27406.68,.11148996,.2277008,13756,1435,961,14.37656,39.77007,.5366399,3.528373,.0634974,.0327857
-.09847604,.00210862,119,1,1,-33418.24,.17143807,.086533,15739,1794,1131,14.13489,56.67555,.66546,4.437416,.0550641,.0534977
-.09847828,.00210929,119,5,1,-33418.98,.25544486,.1796959,15739,1794,1131,14.13489,56.67555,.66546,4.437416,.0550641,.0534977
-.07057707,.00578533,120,1,1,-4703.314,.26576411,.2132125,3253,331,186,9.925607,35.58636,.572165,2.901943,.3852161,.070704
-.07051534,.00578202,120,5,1,-4703.793,.31976354,.4769044,3253,331,186,9.925607,35.58636,.572165,2.901943,.3852161,.070704
-.09848844,.00531021,122,1,1,-6152.629,0,0,2786,338,270,10.09368,27.71701,.6546142,3.06765,.0883028,.0412778
-.07288647,.00302652,123,1,1,-20908.99,2.786e-07,.0000201,10751,722,423,12.20724,61.82333,.6698607,3.476906,.1796653,.0747837
-.07288841,.00302634,123,5,1,-20909,.00895107,.1850707,10751,722,423,12.20724,61.82333,.6698607,3.476906,.1796653,.0747837
-.06467797,.00795463,124,1,1,-3136.581,.32045084,.260378,1727,221,176,8.898668,39.3774,.5628931,2.941176,.4365963,.5732484
-.06468996,.00795646,124,5,1,-3137.002,.40240465,.5217021,1727,221,176,8.898668,39.3774,.5628931,2.941176,.4365963,.5732484
-.10581818,.00892004,127,1,1,-2139.96,.67874093,.439586,2015,415,425,8.721092,24.65217,.477293,2.044776,.0711259,.0307692
-.10583733,.00892855,127,5,1,-2140.418,1.2077405,1.05292,2015,415,425,8.721092,24.65217,.477293,2.044776,.0711259,.0307692
-.07255742,.00333218,129,1,1,-11516.83,.13868132,.1674593,8215,676,506,14.26086,45.63042,.636153,4.339766,.0905864,.0116859
-.07254124,.00333367,129,5,1,-11517.13,.15261289,.3281601,8215,676,506,14.26086,45.63042,.636153,4.339766,.0905864,.0116859
-.07770562,.0020796,130,1,1,-33644.6,.18781298,.09862,19003,1858,1311,11.69326,36.0116,.7346767,3.678123,.0226477,.0479924
-.07771101,.00208015,130,5,1,-33644.3,.39445259,.2003331,19003,1858,1311,11.69326,36.0116,.7346767,3.678123,.0226477,.0479924
-.06229881,.00345248,131,1,1,-6345.618,.57293667,.2577543,3964,347,280,13.95787,27.0754,.5529287,3.416307,.1198514,.0953582
-.06225525,.00345884,131,5,1,-6345.334,1.1758845,.485155,3964,347,280,13.95787,27.0754,.5529287,3.416307,.1198514,.0953582
-.04404631,.00629939,133,1,1,-1753.16,.02024575,.3019973,1552,131,154,10.33763,36.59327,.8443114,3.197156,.3461455,.0393041
-.04405576,.00630754,133,5,1,-1753.162,1.097e-16,0,1552,131,154,10.33763,36.59327,.8443114,3.197156,.3461455,.0393041
-.07962097,.00295578,134,1,1,-8302.308,.1650311,.1568701,5487,443,317,11.88227,22.85281,.5,3.345878,.0999402,.126663
-.07961006,.00295584,134,5,1,-8302.446,.29357166,.3450096,5487,443,317,11.88227,22.85281,.5,3.345878,.0999402,.126663
-.11688114,.00530488,137,1,1,-16712.19,0,0,7788,816,550,13.21225,48.90818,.553413,3.537261,.1758663,.0387776
-.11684432,.00533236,137,5,1,-16712.59,5.934e-21,0,7788,816,550,13.21225,48.90818,.553413,3.537261,.1758663,.0387776
-.03205295,.01313981,139,1,1,-3599.35,.25614431,.2420088,1812,290,205,9.01766,25.84275,.4821592,2.823627,.2535245,.0248344
-.0321259,.01314955,139,5,1,-3599.482,.49839489,.5771379,1812,290,205,9.01766,25.84275,.4821592,2.823627,.2535245,.0248344
-.08545278,.00605872,140,1,1,-2268.74,6.432e-17,0,2464,221,173,8.787744,18.80607,.6393443,3.006953,.142137,.03125
-.08545278,.00605872,140,5,1,-2268.74,1.234e-27,0,2464,221,173,8.787744,18.80607,.6393443,3.006953,.142137,.03125
-.07771166,.00438617,141,1,1,-7474.326,0,0,3891,479,362,11.19841,31.61756,.4681892,2.696225,.2501926,.1369828
-.07771196,.00438297,141,5,1,-7474.45,5.763e-20,0,3891,479,362,11.19841,31.61756,.4681892,2.696225,.2501926,.1369828
-.01509817,.0077195,142,1,1,-546.6522,1.4927727,.9104953,708,65,74,10.58051,31.79399,.3961039,2.376956,.1973611,.1101695
-.01538834,.0078247,142,5,1,-546.4764,3.2046539,1.88619,708,65,74,10.58051,31.79399,.3961039,2.376956,.1973611,.1101695
-.07915458,.00213328,144,1,1,-42712.75,.26790447,.1081696,18566,1270,726,11.95432,26.47047,.4031224,2.274353,.0813143,.0365722
-.07917156,.00213392,144,5,1,-42711.94,.6152671,.2401915,18566,1270,726,11.95432,26.47047,.4031224,2.274353,.0813143,.0365722
-.0913624,.00503411,145,1,1,-6488.125,.20424075,.1998879,3173,225,175,12.45698,17.43531,.3712785,2.869427,.2815811,.0135518
-.09134956,.00502796,145,5,1,-6488.564,.22167261,.4344892,3173,225,175,12.45698,17.43531,.3712785,2.869427,.2815811,.0135518
-.06651244,.01313095,146,1,1,-3152.052,0,0,1869,126,75,10.71215,36.62413,.5870166,3.689451,.4331329,.0053505
-.06651137,.01313,146,5,1,-3152.056,0,0,1869,126,75,10.71215,36.62413,.5870166,3.689451,.4331329,.0053505
-.05015553,.0029706,147,1,1,-3692.384,.04830338,.2415644,2384,227,192,10.04866,23.27738,.466199,2.458564,.1591201,.0192953
-.05016698,.00296946,147,5,1,-3692.399,0,0,2384,227,192,10.04866,23.27738,.466199,2.458564,.1591201,.0192953
-.0927307,.00596654,148,1,1,-2876.477,.42185289,.2510431,1504,161,122,9.489362,22.8191,.6973214,3.499665,.2707143,.2573138
-.09278348,.00596886,148,5,1,-2876.729,.80212235,.5378296,1504,161,122,9.489362,22.8191,.6973214,3.499665,.2707143,.2573138
-.04164573,.00304584,149,1,1,-7366.402,.17447827,.1812062,4999,346,305,11.47309,35.26285,.675,3.449678,.1698469,.0784157
-.04163383,.00304479,149,5,1,-7366.468,.31945172,.3688422,4999,346,305,11.47309,35.26285,.675,3.449678,.1698469,.0784157
-.0585776,.00437289,151,1,1,-4780.04,.10223203,.2250229,3056,270,192,10.23298,14.92105,.4576271,2.37311,.1487024,.3275523
-.05855952,.00437439,151,5,1,-4780.132,4.888e-12,2.99e-09,3056,270,192,10.23298,14.92105,.4576271,2.37311,.1487024,.3275523
-.06372436,.0054528,152,1,1,-2332.961,1.529e-13,0,1262,96,81,10.97861,9.215608,.4164905,2.594226,.0916225,.0198098
-.06372436,.0054528,152,5,1,-2332.961,3.652e-31,0,1262,96,81,10.97861,9.215608,.4164905,2.594226,.0916225,.0198098
-.02737001,.01165009,154,1,1,-2293.329,.06596196,.3769429,1484,244,131,6.493935,32.83685,.7771689,2.688391,.128817,.2486523
-.02758365,.01163024,154,5,1,-2293.179,.39604898,.6823606,1484,244,131,6.493935,32.83685,.7771689,2.688391,.128817,.2486523
-.06950003,.00507847,155,1,1,-14173.38,0,0,5345,543,280,12.13901,35.70171,.668941,3.467781,.0706084,.053508
-.06950229,.00507786,155,5,1,-14173.34,0,0,5345,543,280,12.13901,35.70171,.668941,3.467781,.0706084,.053508
-.10908441,.00478299,156,1,1,-9901.478,.23128576,.1959019,3834,731,319,6.149452,35.20556,.5018821,2.280702,.1044222,.1356286
-.10911332,.00478331,156,5,1,-9901.204,.56893685,.413992,3834,731,319,6.149452,35.20556,.5018821,2.280702,.1044222,.1356286
-.07654866,.00423551,158,1,1,-9789.856,.25392719,.2056939,4748,655,317,10.25358,31.46312,.6135537,2.631479,.0925746,.0494945
-.07654283,.00423356,158,5,1,-9790.175,.4190229,.4376128,4748,655,317,10.25358,31.46312,.6135537,2.631479,.0925746,.0494945
